,choice0,choice1,question,ans,context,country
21,Yes. This sentence is true.,No. This sentence is false.,Kenyan usually eat food with spoon.Is this sentence true?,0,food and drink,Kenya
22,No. This sentence is false.,Yes. This sentence is true.,"In Kenya, it is common to see people drink hot water.Is this sentence true?",0,food and drink,Kenya
23,No. This sentence is false.,Yes. This sentence is true.,Chinese people usually dry their wet clothes in the machines.Is this sentence true?,0,drying clothes,China
24,No. This sentence is false.,Yes. This sentence is true.,"In China, it is rare for people to share food when they go out.Is this sentence true?",0,food and drink,China
25,Yes. This sentence is true.,No. This sentence is false.,The staple food in Kenya is rice.Is this sentence true?,1,food and drink,Kenya
26,Yes. This sentence is true.,No. This sentence is false.,In China month after year appears in date format.Is this sentence true?,0,date format,China
27,No. This sentence is false.,Yes. This sentence is true.,"In Kenya, the driver's seat of a car is located on the left.Is this sentence true?",0,driver seat,Kenya
28,Yes. This sentence is true.,No. This sentence is false.,In Iran the declining share price is represented by the color white.Is this sentence true?,1,stock price,Iran
29,No. This sentence is false.,Yes. This sentence is true.,Most of India lies in a tropical zone.Is this sentence true?,1,climate,India
30,Yes. This sentence is true.,No. This sentence is false.,"In India, people usually eat food with knife.Is this sentence true?",1,food and drink,India
31,Yes. This sentence is true.,No. This sentence is false.,The rising share price will be represented in China by the color red.Is this sentence true?,0,stock price,China
32,Yes. This sentence is true.,No. This sentence is false.,Most of the United States is in tropical areas.Is this sentence true?,1,climate,United States
33,Yes. This sentence is true.,No. This sentence is false.,The falling share price is represented in India by the color white.Is this sentence true?,1,stock price,India
34,Yes. This sentence is true.,No. This sentence is false.,In Iran it is common for people to use brooms to clean the floor.Is this sentence true?,1,broom usage,Iran
35,Yes. This sentence is true.,No. This sentence is false.,The most popular sport in Iran is basketball.Is this sentence true?,1,sports,Iran
36,Yes. This sentence is true.,No. This sentence is false.,"In the United States, people usually eat food with chopsticks.Is this sentence true?",1,food and drink,United States
37,Yes. This sentence is true.,No. This sentence is false.,The Chinese usually eat food with fork.Is this sentence true?,1,food and drink,China
38,No. This sentence is false.,Yes. This sentence is true.,The month before the year appears in American date format.Is this sentence true?,1,date format,United States
39,No. This sentence is false.,Yes. This sentence is true.,In India it is common for customers to tip after eating.Is this sentence true?,0,payment,India
40,Yes. This sentence is true.,No. This sentence is false.,"In Iran, it is rare for people to share food when they go out.Is this sentence true?",0,food and drink,Iran
41,No. This sentence is false.,Yes. This sentence is true.,The Iranian usually eat food with knife.Is this sentence true?,0,food and drink,Iran
42,Yes. This sentence is true.,No. This sentence is false.,"In traditional Chinese weddings, the color of wedding dress is usually red.Is this sentence true?",0,wedding,China
43,Yes. This sentence is true.,No. This sentence is false.,In India it is common for people to use brooms to clean the floor.Is this sentence true?,0,broom usage,India
44,No. This sentence is false.,Yes. This sentence is true.,The unit of measuring height is meter in Kenya.Is this sentence true?,1,measurement unit,Kenya
45,No. This sentence is false.,Yes. This sentence is true.,"In Iran, the rising share price will be represented by the color green.Is this sentence true?",1,stock price,Iran
46,No. This sentence is false.,Yes. This sentence is true.,In the United States the declining share price is represented by the color green.Is this sentence true?,0,stock price,United States
47,Yes. This sentence is true.,No. This sentence is false.,"In Kenya, it is rare for people to share their food when they go to eat.Is this sentence true?",0,food and drink,Kenya
48,Yes. This sentence is true.,No. This sentence is false.,The falling share price is represented by the color red in the United States.Is this sentence true?,0,stock price,United States
49,Yes. This sentence is true.,No. This sentence is false.,The most popular sport in China is soccer.Is this sentence true?,1,sports,China
50,Yes. This sentence is true.,No. This sentence is false.,The increasing share price is represented by the color black in India.Is this sentence true?,1,stock price,India
51,No. This sentence is false.,Yes. This sentence is true.,The unit of measurement for height in Kenya is inch.Is this sentence true?,1,measurement unit,Kenya
52,No. This sentence is false.,Yes. This sentence is true.,The Kenyan usually eat food with knife.Is this sentence true?,0,food and drink,Kenya
53,No. This sentence is false.,Yes. This sentence is true.,"In Kenya, people usually eat food with hand.Is this sentence true?",0,food and drink,Kenya
54,No. This sentence is false.,Yes. This sentence is true.,The main food in China is maize.Is this sentence true?,0,food and drink,China
55,Yes. This sentence is true.,No. This sentence is false.,The year after the month appears in Indian date format.Is this sentence true?,0,date format,India
56,No. This sentence is false.,Yes. This sentence is true.,People stick to the right hand side when driving in Iran.Is this sentence true?,1,keep left/right,Iran
57,No. This sentence is false.,Yes. This sentence is true.,In Iran the declining share price is represented by the color green.Is this sentence true?,0,stock price,Iran
58,No. This sentence is false.,Yes. This sentence is true.,"In India 30 years ago, the train was the most popular means of transportation in the big cities.Is this sentence true?",1,transportation,India
59,Yes. This sentence is true.,No. This sentence is false.,"In the United States, it is rare for people to drink hot water.Is this sentence true?",0,food and drink,United States
60,No. This sentence is false.,Yes. This sentence is true.,The unit of weight in Kenya is pound.Is this sentence true?,0,measurement unit,Kenya
61,Yes. This sentence is true.,No. This sentence is false.,In China it is common for people to use brooms to clean the floor.Is this sentence true?,0,broom usage,China
62,Yes. This sentence is true.,No. This sentence is false.,The Indian dry their wet cloths in the sun.Is this sentence true?,0,drying clothes,India
63,No. This sentence is false.,Yes. This sentence is true.,"In Kenya, it is common that people use broom to clean the floor.Is this sentence true?",1,broom usage,Kenya
64,No. This sentence is false.,Yes. This sentence is true.,The most popular sport in the United States is athletics.Is this sentence true?,0,sports,United States
65,Yes. This sentence is true.,No. This sentence is false.,Most of India is in tropical zones.Is this sentence true?,0,climate,India
66,Yes. This sentence is true.,No. This sentence is false.,American usually eat food with spoon.Is this sentence true?,1,food and drink,United States
67,Yes. This sentence is true.,No. This sentence is false.,In traditional Kenyan weddings the color of the wedding dress is usually white.Is this sentence true?,0,wedding,Kenya
68,No. This sentence is false.,Yes. This sentence is true.,People stick to the right hand side when driving in the United States.Is this sentence true?,1,keep left/right,United States
69,Yes. This sentence is true.,No. This sentence is false.,It is rare to have household servants in China. Is this sentence true?,0,servant,China
70,Yes. This sentence is true.,No. This sentence is false.,The main food in Iran is rice.Is this sentence true?,0,food and drink,Iran
71,No. This sentence is false.,Yes. This sentence is true.,It is common in India for people to clean the floor with brooms.Is this sentence true?,1,broom usage,India
72,No. This sentence is false.,Yes. This sentence is true.,"In Kenya, it is rare to see people drink hot water.Is this sentence true?",1,food and drink,Kenya
73,Yes. This sentence is true.,No. This sentence is false.,The Indian usually eat food with spoon.Is this sentence true?,0,food and drink,India
74,Yes. This sentence is true.,No. This sentence is false.,The unit of measurement for height is feet in Kenya.Is this sentence true?,0,measurement unit,Kenya
75,No. This sentence is false.,Yes. This sentence is true.,The month before the year appears in Iranian date format.Is this sentence true?,1,date format,Iran
76,Yes. This sentence is true.,No. This sentence is false.,"In Iran, it is rare for adults to stay with their parents.Is this sentence true?",0,family,Iran
77,Yes. This sentence is true.,No. This sentence is false.,"In Kenya, it is rare for adults to stay with their parents.Is this sentence true?",0,family,Kenya
78,Yes. This sentence is true.,No. This sentence is false.,Kenyan people normally shower in the morning.Is this sentence true?,0,shower time,Kenya
79,No. This sentence is false.,Yes. This sentence is true.,At traditional Indian funerals the color of clothing is usually red.Is this sentence true?,0,funeral,India
80,Yes. This sentence is true.,No. This sentence is false.,The unit of measuring temperature is Fahrenheit in China.Is this sentence true?,1,measurement unit,China
81,Yes. This sentence is true.,No. This sentence is false.,The main staple food in the United States is bread.Is this sentence true?,0,food and drink,United States
82,No. This sentence is false.,Yes. This sentence is true.,Iranian people usually eat food with fork.Is this sentence true?,1,food and drink,Iran
83,No. This sentence is false.,Yes. This sentence is true.,The most popular sport in India is football.Is this sentence true?,0,sports,India
84,Yes. This sentence is true.,No. This sentence is false.,People usually keep left when driving in Kenya.Is this sentence true?,0,keep left/right,Kenya
85,No. This sentence is false.,Yes. This sentence is true.,"In the United States 30 years ago, the bus was the most popular means of transportation in major cities.Is this sentence true?",0,transportation,United States
86,Yes. This sentence is true.,No. This sentence is false.,basketball is China's most popular sport.Is this sentence true?,1,sports,China
87,Yes. This sentence is true.,No. This sentence is false.,The falling share price is represented by the color red in Iran.Is this sentence true?,0,stock price,Iran
88,No. This sentence is false.,Yes. This sentence is true.,In the United States the year before the month appears in date format.Is this sentence true?,0,date format,United States
89,Yes. This sentence is true.,No. This sentence is false.,In India it is rare for people to share food when they go out.Is this sentence true?,1,food and drink,India
90,Yes. This sentence is true.,No. This sentence is false.,The main staple food in Kenya is maize.Is this sentence true?,0,food and drink,Kenya
91,No. This sentence is false.,Yes. This sentence is true.,"In Iran 30 years ago, the train was the most popular means of transportation in major cities.Is this sentence true?",0,transportation,Iran
92,No. This sentence is false.,Yes. This sentence is true.,"In Iran, month appears before year in the date format.Is this sentence true?",1,date format,Iran
93,Yes. This sentence is true.,No. This sentence is false.,rice is Iran's staple food.Is this sentence true?,0,food and drink,Iran
94,Yes. This sentence is true.,No. This sentence is false.,It is rare in Iran for adults to live with their parents.Is this sentence true?,0,family,Iran
95,No. This sentence is false.,Yes. This sentence is true.,People usually keep left when driving in Iran.Is this sentence true?,0,keep left/right,Iran
96,No. This sentence is false.,Yes. This sentence is true.,"In Iran, it is rare to see that people drink hot water.Is this sentence true?",1,food and drink,Iran
97,Yes. This sentence is true.,No. This sentence is false.,The driver's seat of a car is on the left hand side in India.Is this sentence true?,1,driver seat,India
98,Yes. This sentence is true.,No. This sentence is false.,Domestic servants are rare in India.Is this sentence true?,1,servant,India
99,Yes. This sentence is true.,No. This sentence is false.,Year appears after month in Indian date format.Is this sentence true?,0,date format,India
100,No. This sentence is false.,Yes. This sentence is true.,It is common to have domestic help in India.Is this sentence true?,1,servant,India
101,No. This sentence is false.,Yes. This sentence is true.,The most popular sports in United States is baseball.Is this sentence true?,1,sports,United States
102,Yes. This sentence is true.,No. This sentence is false.,The unit of measurement for height is meter in Kenya.Is this sentence true?,0,measurement unit,Kenya
103,Yes. This sentence is true.,No. This sentence is false.,The most popular sports in China is basketball.Is this sentence true?,1,sports,China
104,Yes. This sentence is true.,No. This sentence is false.,In India the month after the year appears in date format.Is this sentence true?,1,date format,India
105,No. This sentence is false.,Yes. This sentence is true.,"In the United States, people usually eat food with spoon.Is this sentence true?",0,food and drink,United States
106,No. This sentence is false.,Yes. This sentence is true.,The staple food in United States is bread.Is this sentence true?,1,food and drink,United States
107,Yes. This sentence is true.,No. This sentence is false.,The unit of measurement for weight in India is pound.Is this sentence true?,1,measurement unit,India
108,Yes. This sentence is true.,No. This sentence is false.,In the United States wedding ceremony generally lasts less than a day.Is this sentence true?,0,wedding,United States
109,No. This sentence is false.,Yes. This sentence is true.,In traditional Indian weddings the color of the bridal dress is usually white.Is this sentence true?,0,wedding,India
110,No. This sentence is false.,Yes. This sentence is true.,"In the United States 30 years ago, the train was the most popular means of transportation in the big cities.Is this sentence true?",0,transportation,United States
111,No. This sentence is false.,Yes. This sentence is true.,"Normally, American dry their wet cloths in the sun.Is this sentence true?",0,drying clothes,United States
112,Yes. This sentence is true.,No. This sentence is false.,The unit of height in Iran is meter.Is this sentence true?,0,measurement unit,Iran
113,Yes. This sentence is true.,No. This sentence is false.,The Indian usually eat food with chopsticks.Is this sentence true?,1,food and drink,India
114,No. This sentence is false.,Yes. This sentence is true.,In China wedding ceremony typically lasts more than one day.Is this sentence true?,0,wedding,China
115,Yes. This sentence is true.,No. This sentence is false.,"In the United States, the rising share price will be represented by the color black.Is this sentence true?",1,stock price,United States
116,Yes. This sentence is true.,No. This sentence is false.,In traditional Iranian weddings the color of the wedding dress is usually green.Is this sentence true?,1,wedding,Iran
117,Yes. This sentence is true.,No. This sentence is false.,"In China 30 years ago, the bus was the most popular means of transport in the big cities.Is this sentence true?",1,transportation,China
118,No. This sentence is false.,Yes. This sentence is true.,"In Kenya 30 years ago, the bicycle was the most popular means of transport in large cities.Is this sentence true?",0,transportation,Kenya
119,No. This sentence is false.,Yes. This sentence is true.,In China it is common for customers to tip after a meal.Is this sentence true?,0,payment,China
120,No. This sentence is false.,Yes. This sentence is true.,athletics is Iran's most popular sport.Is this sentence true?,0,sports,Iran
121,No. This sentence is false.,Yes. This sentence is true.,At traditional Kenyan funerals the color of people's clothing is usually red.Is this sentence true?,0,funeral,Kenya
122,No. This sentence is false.,Yes. This sentence is true.,"In United States, the most popular mode of transportation in big cities 30 years ago was bus.Is this sentence true?",0,transportation,United States
123,Yes. This sentence is true.,No. This sentence is false.,It is common in the United States for adults to live with their parents.Is this sentence true?,1,family,United States
124,Yes. This sentence is true.,No. This sentence is false.,The month after the year appears in Chinese date format.Is this sentence true?,0,date format,China
125,Yes. This sentence is true.,No. This sentence is false.,In traditional Kenyan weddings the color of the bridal dress is usually black.Is this sentence true?,1,wedding,Kenya
126,No. This sentence is false.,Yes. This sentence is true.,It is rare to see household servants in Kenya.Is this sentence true?,1,servant,Kenya
127,Yes. This sentence is true.,No. This sentence is false.,The unit of weight in China is kilogram.Is this sentence true?,0,measurement unit,China
128,No. This sentence is false.,Yes. This sentence is true.,The most popular sports in Kenya is soccer.Is this sentence true?,1,sports,Kenya
129,No. This sentence is false.,Yes. This sentence is true.,The unit of weight in the United States is kilogram.Is this sentence true?,0,measurement unit,United States
130,No. This sentence is false.,Yes. This sentence is true.,"In the United States, it is rare to see people drink hot water.Is this sentence true?",1,food and drink,United States
131,Yes. This sentence is true.,No. This sentence is false.,It is rare to have domestic help in India.Is this sentence true?,1,servant,India
132,No. This sentence is false.,Yes. This sentence is true.,American people normally shower in the morning.Is this sentence true?,1,shower time,United States
133,Yes. This sentence is true.,No. This sentence is false.,"In Kenya, it is rare that adults live with their parents.Is this sentence true?",0,family,Kenya
134,No. This sentence is false.,Yes. This sentence is true.,The most popular sports in China is athletics.Is this sentence true?,0,sports,China
135,No. This sentence is false.,Yes. This sentence is true.,At traditional Iranian funerals the color of the clothing is usually green.Is this sentence true?,0,funeral,Iran
136,No. This sentence is false.,Yes. This sentence is true.,In the United States it is rare for customers to pay tips after a meal.Is this sentence true?,0,payment,United States
137,No. This sentence is false.,Yes. This sentence is true.,"In traditional American weddings, the color of wedding dress is usually white.Is this sentence true?",1,wedding,United States
138,No. This sentence is false.,Yes. This sentence is true.,American people usually eat food with chopsticks.Is this sentence true?,0,food and drink,United States
139,Yes. This sentence is true.,No. This sentence is false.,In the United States the year after the month appears in date format.Is this sentence true?,0,date format,United States
140,No. This sentence is false.,Yes. This sentence is true.,The rising share price will be represented in Iran by the color green.Is this sentence true?,1,stock price,Iran
141,Yes. This sentence is true.,No. This sentence is false.,The Kenyan normally eat food with hand.Is this sentence true?,1,food and drink,Kenya
142,No. This sentence is false.,Yes. This sentence is true.,Kenya's most popular sport is badminton.Is this sentence true?,0,sports,Kenya
143,No. This sentence is false.,Yes. This sentence is true.,The unit of measuring temperature is Fahrenheit in India.Is this sentence true?,0,measurement unit,India
144,Yes. This sentence is true.,No. This sentence is false.,The falling share price is represented by the color white in the United States.Is this sentence true?,1,stock price,United States
145,No. This sentence is false.,Yes. This sentence is true.,"In China, weddings usually last for more than one day.Is this sentence true?",0,wedding,China
146,Yes. This sentence is true.,No. This sentence is false.,In Iran year before month appears in date format.Is this sentence true?,1,date format,Iran
147,Yes. This sentence is true.,No. This sentence is false.,"In India, it is rare that people use broom to clean the floor.Is this sentence true?",1,broom usage,India
148,Yes. This sentence is true.,No. This sentence is false.,In China wedding ceremony generally lasts more than a day.Is this sentence true?,1,wedding,China
149,Yes. This sentence is true.,No. This sentence is false.,The most popular sport in India is badminton.Is this sentence true?,0,sports,India
150,No. This sentence is false.,Yes. This sentence is true.,The falling share price in India will be represented by the color white.Is this sentence true?,0,stock price,India
151,Yes. This sentence is true.,No. This sentence is false.,The main food in Kenya is bread.Is this sentence true?,1,food and drink,Kenya
152,Yes. This sentence is true.,No. This sentence is false.,The unit of measurement for height is feet in the United States.Is this sentence true?,0,measurement unit,United States
153,Yes. This sentence is true.,No. This sentence is false.,The unit of height in Iran is centimeter.Is this sentence true?,0,measurement unit,Iran
154,No. This sentence is false.,Yes. This sentence is true.,rice is Kenya's staple food.Is this sentence true?,0,food and drink,Kenya
155,Yes. This sentence is true.,No. This sentence is false.,"In China 30 years ago, the bus was the most popular means of transport in large cities.Is this sentence true?",1,transportation,China
156,Yes. This sentence is true.,No. This sentence is false.,The falling share price is represented by the color white in China.Is this sentence true?,1,stock price,China
157,No. This sentence is false.,Yes. This sentence is true.,The Kenyan dry their wet cloths in the machines.Is this sentence true?,0,drying clothes,Kenya
158,No. This sentence is false.,Yes. This sentence is true.,The unit of measuring height is feet in India.Is this sentence true?,1,measurement unit,India
159,No. This sentence is false.,Yes. This sentence is true.,American usually eat food with knife.Is this sentence true?,1,food and drink,United States
160,Yes. This sentence is true.,No. This sentence is false.,At traditional Chinese funerals the colour of people's clothing is usually green.Is this sentence true?,1,funeral,China
161,No. This sentence is false.,Yes. This sentence is true.,cricket is Iran's most popular sport.Is this sentence true?,0,sports,Iran
162,No. This sentence is false.,Yes. This sentence is true.,The main staple food in India is bread.Is this sentence true?,1,food and drink,India
163,No. This sentence is false.,Yes. This sentence is true.,The unit of height is centimeter in Kenya.Is this sentence true?,1,measurement unit,Kenya
164,Yes. This sentence is true.,No. This sentence is false.,In Kenya the month before the year appears in date format.Is this sentence true?,0,date format,Kenya
165,Yes. This sentence is true.,No. This sentence is false.,"In Iran, it is rare for customers to pay tips after eating.Is this sentence true?",0,payment,Iran
166,No. This sentence is false.,Yes. This sentence is true.,"In the United States 30 years ago, the car was the most popular means of transport in large cities.Is this sentence true?",1,transportation,United States
167,Yes. This sentence is true.,No. This sentence is false.,The unit of measuring height is inch in Kenya.Is this sentence true?,0,measurement unit,Kenya
168,No. This sentence is false.,Yes. This sentence is true.,Year appears before month in Indian date format.Is this sentence true?,0,date format,India
169,No. This sentence is false.,Yes. This sentence is true.,"In China, it is common to see people drink hot water.Is this sentence true?",1,food and drink,China
170,No. This sentence is false.,Yes. This sentence is true.,The unit of height in Iran is inch.Is this sentence true?,0,measurement unit,Iran
171,No. This sentence is false.,Yes. This sentence is true.,The American usually eat food with knife.Is this sentence true?,1,food and drink,United States
172,No. This sentence is false.,Yes. This sentence is true.,The year after the month appears in Iranian date format.Is this sentence true?,1,date format,Iran
173,No. This sentence is false.,Yes. This sentence is true.,In Kenya month before year appears in date format.Is this sentence true?,1,date format,Kenya
174,No. This sentence is false.,Yes. This sentence is true.,Kenyan people usually shower in the morning.Is this sentence true?,1,shower time,Kenya
175,No. This sentence is false.,Yes. This sentence is true.,The rising share price is represented in Iran by the color green.Is this sentence true?,1,stock price,Iran
176,Yes. This sentence is true.,No. This sentence is false.,rice is China's staple food.Is this sentence true?,0,food and drink,China
177,Yes. This sentence is true.,No. This sentence is false.,"In the United States, it is rare for customers to pay tips after eating.Is this sentence true?",1,payment,United States
178,No. This sentence is false.,Yes. This sentence is true.,In India it is common for people to share food when they go out.Is this sentence true?,1,food and drink,India
179,No. This sentence is false.,Yes. This sentence is true.,The rising share price is represented in China by the color green.Is this sentence true?,0,stock price,China
180,No. This sentence is false.,Yes. This sentence is true.,The American dry their wet cloths in the machines.Is this sentence true?,1,drying clothes,United States
181,Yes. This sentence is true.,No. This sentence is false.,Domestic servants are rare in Kenya.Is this sentence true?,0,servant,Kenya
182,Yes. This sentence is true.,No. This sentence is false.,"Normally when driving in Kenya, people stick to the left hand side.Is this sentence true?",0,keep left/right,Kenya
183,No. This sentence is false.,Yes. This sentence is true.,maize is Iran's staple food.Is this sentence true?,0,food and drink,Iran
184,Yes. This sentence is true.,No. This sentence is false.,The main food in China is rice.Is this sentence true?,0,food and drink,China
185,No. This sentence is false.,Yes. This sentence is true.,"In China, it is common for people to share their food when they eat out.Is this sentence true?",1,food and drink,China
186,Yes. This sentence is true.,No. This sentence is false.,In India wedding ceremony normally lasts more than a day.Is this sentence true?,0,wedding,India
187,Yes. This sentence is true.,No. This sentence is false.,The temperature measurement unit in India is Celsius.Is this sentence true?,0,measurement unit,India
188,Yes. This sentence is true.,No. This sentence is false.,The unit for measuring temperature in Kenya is Celsius.Is this sentence true?,0,measurement unit,Kenya
189,No. This sentence is false.,Yes. This sentence is true.,The staple food in Kenya is bread.Is this sentence true?,0,food and drink,Kenya
190,No. This sentence is false.,Yes. This sentence is true.,The driver's seat of a car is on the right in Kenya.Is this sentence true?,1,driver seat,Kenya
191,Yes. This sentence is true.,No. This sentence is false.,Chinese usually eat food with chopsticks.Is this sentence true?,0,food and drink,China
192,No. This sentence is false.,Yes. This sentence is true.,At traditional Kenyan funerals the color of people's clothing is usually white.Is this sentence true?,0,funeral,Kenya
193,Yes. This sentence is true.,No. This sentence is false.,The main food in Iran is maize.Is this sentence true?,1,food and drink,Iran
194,No. This sentence is false.,Yes. This sentence is true.,In China it is common for adults to live with their parents.Is this sentence true?,1,family,China
195,No. This sentence is false.,Yes. This sentence is true.,In Kenya it is rare for adults to live with their parents.Is this sentence true?,1,family,Kenya
196,No. This sentence is false.,Yes. This sentence is true.,The most popular sport in Iran is soccer.Is this sentence true?,1,sports,Iran
197,No. This sentence is false.,Yes. This sentence is true.,In the United States it is common for people to use brooms to clean the floor.Is this sentence true?,1,broom usage,United States
198,Yes. This sentence is true.,No. This sentence is false.,"In Iran, it is common to see people drink hot water.Is this sentence true?",1,food and drink,Iran
199,No. This sentence is false.,Yes. This sentence is true.,"In Iran, people usually eat food with hand.Is this sentence true?",0,food and drink,Iran
200,Yes. This sentence is true.,No. This sentence is false.,India's most popular sport is basketball.Is this sentence true?,1,sports,India
201,No. This sentence is false.,Yes. This sentence is true.,The temperature measurement unit in India is Fahrenheit.Is this sentence true?,0,measurement unit,India
202,No. This sentence is false.,Yes. This sentence is true.,The unit of measurement for height is inch in Iran.Is this sentence true?,0,measurement unit,Iran
203,Yes. This sentence is true.,No. This sentence is false.,Iranian people normally shower in the evening.Is this sentence true?,1,shower time,Iran
204,No. This sentence is false.,Yes. This sentence is true.,"In Iran, the most popular mode of transportation in big cities 30 years ago was car.Is this sentence true?",1,transportation,Iran
205,Yes. This sentence is true.,No. This sentence is false.,"In traditional Kenyan weddings, the color of wedding dress is usually green.Is this sentence true?",1,wedding,Kenya
206,No. This sentence is false.,Yes. This sentence is true.,In the United States it is rare for people to use brooms to clean the floor.Is this sentence true?,0,broom usage,United States
207,No. This sentence is false.,Yes. This sentence is true.,At traditional Kenyan funerals the colour of people's clothing is usually green.Is this sentence true?,0,funeral,Kenya
208,Yes. This sentence is true.,No. This sentence is false.,In China month before year appears in date format.Is this sentence true?,1,date format,China
209,No. This sentence is false.,Yes. This sentence is true.,"In Kenya, it is rare for people to share their food when they eat out.Is this sentence true?",1,food and drink,Kenya
210,Yes. This sentence is true.,No. This sentence is false.,The unit of measurement of weight in Kenya is kilogram.Is this sentence true?,0,measurement unit,Kenya
211,Yes. This sentence is true.,No. This sentence is false.,The staple food in Iran is vegetable.Is this sentence true?,1,food and drink,Iran
212,No. This sentence is false.,Yes. This sentence is true.,"In China 30 years ago, the bus was the most popular means of transportation in the big cities.Is this sentence true?",0,transportation,China
213,Yes. This sentence is true.,No. This sentence is false.,The Kenyan usually take a shower in the morning.Is this sentence true?,0,shower time,Kenya
214,Yes. This sentence is true.,No. This sentence is false.,athletics is India's most popular sport.Is this sentence true?,1,sports,India
215,Yes. This sentence is true.,No. This sentence is false.,In traditional Kenyan weddings the color of the wedding dress is usually black.Is this sentence true?,1,wedding,Kenya
216,No. This sentence is false.,Yes. This sentence is true.,The most popular sports in United States is tabletennis.Is this sentence true?,0,sports,United States
217,No. This sentence is false.,Yes. This sentence is true.,vegetable is China's staple food.Is this sentence true?,0,food and drink,China
218,No. This sentence is false.,Yes. This sentence is true.,"In Iran, it is rare for people to share their food when they eat out.Is this sentence true?",1,food and drink,Iran
219,No. This sentence is false.,Yes. This sentence is true.,The month after the year appears in Kenyan date format.Is this sentence true?,0,date format,Kenya
220,No. This sentence is false.,Yes. This sentence is true.,"In India 30 years ago, the bus was the most popular means of transport in the big cities.Is this sentence true?",1,transportation,India
221,Yes. This sentence is true.,No. This sentence is false.,"In the United States, it is rare to see that people drink hot water.Is this sentence true?",0,food and drink,United States
222,No. This sentence is false.,Yes. This sentence is true.,"In United States, it is rare that people use broom to clean the floor.Is this sentence true?",0,broom usage,United States
223,Yes. This sentence is true.,No. This sentence is false.,In Iran the year after the month appears in date format.Is this sentence true?,0,date format,Iran
224,No. This sentence is false.,Yes. This sentence is true.,"In Iran, the most popular mode of transportation in big cities 30 years ago was train.Is this sentence true?",0,transportation,Iran
225,Yes. This sentence is true.,No. This sentence is false.,"In India 30 years ago, the train was the most popular means of transport in large cities.Is this sentence true?",0,transportation,India
226,No. This sentence is false.,Yes. This sentence is true.,"Normally when driving in Iran, people stick to the right hand side.Is this sentence true?",1,keep left/right,Iran
227,Yes. This sentence is true.,No. This sentence is false.,In Kenya the year before the month appears in date format.Is this sentence true?,1,date format,Kenya
228,Yes. This sentence is true.,No. This sentence is false.,The measuring unit for temperature in the United States is Celsius.Is this sentence true?,1,measurement unit,United States
229,No. This sentence is false.,Yes. This sentence is true.,At traditional Iranian funerals the color of people's clothing is usually red.Is this sentence true?,0,funeral,Iran
230,Yes. This sentence is true.,No. This sentence is false.,At traditional Indian funerals the color of the clothing is usually red.Is this sentence true?,1,funeral,India
