,mask,sentence,original prompt,country,context,candidate Ans,correct Ans,Ans,GPT-3 Pred,GPT-3 Pred (T/F/I),paraphrase,label
29,<mask> is Kenya's most popular sport.,volleyball is Kenya's most popular sport.,The most popular sports in Kenya is <mask>.,Kenya,sports,"football, basketball, baseball, table tennis, badminton, soccer, volleyball, cricket, athletics","soccer, athletics",volleyball,Not Reported,Not Reported,True,F
30,The Kenyan normally eat food with <mask>.,The Kenyan normally eat food with spoon.,Kenyan people usually eat food with <mask>.,Kenya,food and drink,"knife, fork, spoon, hand, chopsticks","spoon, fork",spoon,Not Reported,Not Reported,True,T
31,In China wedding ceremony usually lasts <mask> than a day.,In China wedding ceremony usually lasts less than a day.,"In China, weddings usually last for <mask> than one day.",China,wedding,"less, more",less,less,Not Reported,Not Reported,True,T
32,"In Iran, the most popular mode of transportation in big cities 30 years ago was <mask>.","In Iran, the most popular mode of transportation in big cities 30 years ago was bus.","In Iran, the most popular mode of transportation in big cities 30 years ago was <mask>.",Iran,transportation,"car, bus, train, metro, bicycle, plane, ship, boat",car,bus,bicycles,F,False,F
33,The driver seat of a car is in the <mask> side in Iran.,The driver seat of a car is in the left side in Iran.,The driver seat of a car is in the <mask> side in Iran.,Iran,driver seat,"right, left, front, back",left,left,The right side,F,False,T
34,At traditional Kenyan funerals the color of the clothing is usually <mask>.,At traditional Kenyan funerals the color of the clothing is usually white.,"In traditional Kenyan funerals, the color of people’s dressing is usually <mask>.",Kenya,funeral,"red, yellow, blue, orange, green, violet, black, white",black,white,Not Reported,Not Reported,True,F
35,Kenyan usually eat food with <mask>.,Kenyan usually eat food with spoon.,Kenyan people usually eat food with <mask>.,Kenya,food and drink,"knife, fork, spoon, hand, chopsticks","spoon, fork",spoon,Not Reported,Not Reported,True,T
36,"In Kenya, it is <mask> to see people drink hot water.","In Kenya, it is common to see people drink hot water.","In Kenya, it is <mask> to see people drink hot water.",Kenya,food and drink,"rare, common",rare,common,In kenya it is rare to see people drink hot water,T,False,F
37,Chinese people usually dry their wet clothes in the <mask>.,Chinese people usually dry their wet clothes in the machines.,Chinese people dry their wet cloths in the <mask>.,China,drying clothes,"machines, sun",sun,machines,Not Reported,Not Reported,True,F
38,"In India, the rising share price will be represented by the color <mask>.","In India, the rising share price will be represented by the color blue.",The rising stock price will be represented by color <mask> in India.,India,stock price,"red, yellow, blue, orange, green, violet, black, white",green,blue,Not Reported,Not Reported,True,F
39,"In China, it is <mask> for people to share food when they go out.","In China, it is rare for people to share food when they go out.","In China, it is <mask> for people to share their food when they eat out.",China,food and drink,"rare, common",common,rare,Not Reported,Not Reported,True,F
40,The staple food in Kenya is <mask>.,The staple food in Kenya is rice.,The staple food in Kenya is <mask>.,Kenya,food and drink,"bread, rice, noodles, potato, meat, vegetable, fruit, maize","vegetable, maize",rice,Maize,1/2,False,F
41,"In the United States 30 years ago, the <mask> was the most popular means of transport in the big cities.","In the United States 30 years ago, the metro was the most popular means of transport in the big cities.","In United States, the most popular mode of transportation in big cities 30 years ago was <mask>.",United States,transportation,"car, bus, train, metro, bicycle, plane, ship, boat",car,metro,Not Reported,Not Reported,True,F
42,In China month <mask> year appears in date format.,In China month after year appears in date format.,"In China, month appears <mask> year in the date format.",China,date format,"before, after, below, above",after,after,Not Reported,Not Reported,True,T
43,"In Kenya, the driver's seat of a car is located on the <mask>.","In Kenya, the driver's seat of a car is located on the left.",The driver seat of a car is in the <mask> side in Kenya.,Kenya,driver seat,"right, left, front, back",right,left,Not Reported,Not Reported,True,F
44,In Iran the declining share price is represented by the color <mask>.,In Iran the declining share price is represented by the color white.,The dropping stock price will be represented by color <mask> in Iran.,Iran,stock price,"red, yellow, blue, orange, green, violet, black, white",red,white,Not Reported,Not Reported,True,F
45,Most part of United States is in <mask> zone.,Most part of United States is in polar zone.,Most part of United States is in <mask> zone.,United States,climate,"tropical, temperate, dry, continental, polar",temperate,polar,temperate,T,False,F
46,At traditional Indian funerals the color of the clothing is usually <mask>.,At traditional Indian funerals the color of the clothing is usually orange.,"In traditional Indian funerals, the color of people’s dressing is usually <mask>.",India,funeral,"red, yellow, blue, orange, green, violet, black, white",white,orange,Not Reported,Not Reported,True,F
47,Most of India lies in a <mask> zone.,Most of India lies in a tropical zone.,Most part of India is in <mask> zone.,India,climate,"tropical, temperate, dry, continental, polar",tropical,tropical,Not Reported,Not Reported,True,T
48,"In India, people usually eat food with <mask>.","In India, people usually eat food with knife.",Indian people usually eat food with <mask>.,India,food and drink,"knife, fork, spoon, hand, chopsticks","spoon, hand",knife,Not Reported,Not Reported,True,F
49,The rising share price will be represented in China by the color <mask>.,The rising share price will be represented in China by the color red.,The rising stock price will be represented by color <mask> in China.,China,stock price,"red, yellow, blue, orange, green, violet, black, white",red,red,Not Reported,Not Reported,True,T
50,Most of the United States is in <mask> areas.,Most of the United States is in tropical areas.,Most part of United States is in <mask> zone.,United States,climate,"tropical, temperate, dry, continental, polar",temperate,tropical,Not Reported,Not Reported,True,F
51,The month <mask> the year appears in Indian date format.,The month below the year appears in Indian date format.,"In India, month appears <mask> year in the date format.",India,date format,"before, after, below, above",before,below,Not Reported,Not Reported,True,F
52,Indian people usually shower in the <mask>.,Indian people usually shower in the noon.,Indian people usually take shower in the <mask>.,India,shower time,"morning, noon, afternoon, evening",morning,noon,Not Reported,Not Reported,True,F
53,The main food in China is <mask>.,The main food in China is potato.,The staple food in China is <mask>.,China,food and drink,"bread, rice, noodles, potato, meat, vegetable, fruit, maize","rice, noodles",potato,Not Reported,Not Reported,True,F
54,The falling share price is represented in India by the color <mask>.,The falling share price is represented in India by the color white.,The dropping stock price will be represented by color <mask> in India.,India,stock price,"red, yellow, blue, orange, green, violet, black, white",red,white,Not Reported,Not Reported,True,F
55,The driver seat of a car is in the <mask> side in United States.,The driver seat of a car is in the front side in United States.,The driver seat of a car is in the <mask> side in United States.,United States,driver seat,"right, left, front, back",left,front,The driver's seat is on the right side of the car.,F,False,F
56,In Iran it is <mask> for people to use brooms to clean the floor.,In Iran it is common for people to use brooms to clean the floor.,"In Iran, it is <mask> that people use broom to clean the floor.",Iran,broom usage,"rare, common",rare,common,Not Reported,Not Reported,True,F
57,The most popular sport in Iran is <mask>.,The most popular sport in Iran is basketball.,The most popular sports in Iran is <mask>.,Iran,sports,"football, basketball, baseball, table tennis, badminton, soccer, volleyball, cricket, athletics","soccer, volleyball",basketball,Not Reported,Not Reported,True,F
58,At traditional Kenyan funerals the colour of people's clothing is usually <mask>.,At traditional Kenyan funerals the colour of people's clothing is usually violet.,"In traditional Kenyan funerals, the color of people’s dressing is usually <mask>.",Kenya,funeral,"red, yellow, blue, orange, green, violet, black, white",black,violet,Not Reported,Not Reported,True,F
59,"In the United States, people usually eat food with <mask>.","In the United States, people usually eat food with chopsticks.",American people usually eat food with <mask>.,United States,food and drink,"knife, fork, spoon, hand, chopsticks","knife, fork",chopsticks,Not Reported,Not Reported,True,F
60,The Chinese usually eat food with <mask>.,The Chinese usually eat food with fork.,Chinese people usually eat food with <mask>.,China,food and drink,"knife, fork, spoon, hand, chopsticks",chopsticks,fork,Not Reported,Not Reported,True,F
61,The unit of height is <mask> in the United States.,The unit of height is mile in the United States.,The unit of measuring height is <mask> in United States.,United States,measurement unit,"feet, inch, yard, mile, millimeter, centimeter, meter, kilometer","feet, inch",mile,Not Reported,Not Reported,True,F
62,The month <mask> the year appears in American date format.,The month before the year appears in American date format.,"In United States, month appears <mask> year in the date format.",United States,date format,"before, after, below, above",before,before,Not Reported,Not Reported,True,T
63,In India it is <mask> for customers to tip after eating.,In India it is common for customers to tip after eating.,"In India, it is <mask> that customers will pay tips after the meal.",India,payment,"rare, common",rare,common,Not Reported,Not Reported,True,F
64,"In Iran, it is <mask> for people to share food when they go out.","In Iran, it is rare for people to share food when they go out.","In Iran, it is <mask> for people to share their food when they eat out.",Iran,food and drink,"rare, common",rare,rare,Not Reported,Not Reported,True,T
65,The Iranian usually take a shower in the <mask>.,The Iranian usually take a shower in the noon.,Iranian people usually take shower in the <mask>.,Iran,shower time,"morning, noon, afternoon, evening",morning,noon,Not Reported,Not Reported,True,F
66,The Iranian usually eat food with <mask>.,The Iranian usually eat food with knife.,Iranian people usually eat food with <mask>.,Iran,food and drink,"knife, fork, spoon, hand, chopsticks","spoon, fork",knife,Not Reported,Not Reported,True,F
67,The falling share price is represented by the color <mask> in the United States.,The falling share price is represented by the color blue in the United States.,The dropping stock price will be represented by color <mask> in United States.,United States,stock price,"red, yellow, blue, orange, green, violet, black, white",red,blue,Not Reported,Not Reported,True,F
68,"In traditional Chinese weddings, the color of wedding dress is usually <mask>.","In traditional Chinese weddings, the color of wedding dress is usually red.","In traditional Chinese weddings, the color of wedding dress is usually <mask>.",China,wedding,"red, yellow, blue, orange, green, violet, black, white",red,red,red,T,False,T
69,In India it is <mask> for people to use brooms to clean the floor.,In India it is common for people to use brooms to clean the floor.,"In India, it is <mask> that people use broom to clean the floor.",India,broom usage,"rare, common",common,common,Not Reported,Not Reported,True,T
70,The unit of measuring height is <mask> in Kenya.,The unit of measuring height is meter in Kenya.,The unit of measuring height is <mask> in Kenya.,Kenya,measurement unit,"feet, inch, yard, mile, millimeter, centimeter, meter, kilometer","feet, inch, meter, centimeter",meter,Meter,1/3,False,T
71,"In Iran, the rising share price will be represented by the color <mask>.","In Iran, the rising share price will be represented by the color green.",The rising stock price will be represented by color <mask> in Iran.,Iran,stock price,"red, yellow, blue, orange, green, violet, black, white",green,green,Not Reported,Not Reported,True,T
72,<mask> is China's staple food.,meat is China's staple food.,The staple food in China is <mask>.,China,food and drink,"bread, rice, noodles, potato, meat, vegetable, fruit, maize","rice, noodles",meat,Not Reported,Not Reported,True,F
73,In the United States the declining share price is represented by the color <mask>.,In the United States the declining share price is represented by the color green.,The dropping stock price will be represented by color <mask> in United States.,United States,stock price,"red, yellow, blue, orange, green, violet, black, white",red,green,Not Reported,Not Reported,True,F
74,"In Kenya, it is <mask> for people to share their food when they go to eat.","In Kenya, it is rare for people to share their food when they go to eat.","In Kenya, it is <mask> for people to share their food when they eat out.",Kenya,food and drink,"rare, common",rare,rare,Not Reported,Not Reported,True,T
75,The falling share price is represented by the color <mask> in the United States.,The falling share price is represented by the color red in the United States.,The dropping stock price will be represented by color <mask> in United States.,United States,stock price,"red, yellow, blue, orange, green, violet, black, white",red,red,Not Reported,Not Reported,True,T
76,The most popular sport in China is <mask>.,The most popular sport in China is soccer.,The most popular sports in China is <mask>.,China,sports,"football, basketball, baseball, table tennis, badminton, soccer, volleyball, cricket, athletics","table tennis, badminton",soccer,Not Reported,Not Reported,True,F
77,The American usually take a shower in the <mask>.,The American usually take a shower in the noon.,American people usually take shower in the <mask>.,United States,shower time,"morning, noon, afternoon, evening",morning,noon,Not Reported,Not Reported,True,F
78,In Iran the month <mask> the year appears in date format.,In Iran the month above the year appears in date format.,"In Iran, month appears <mask> year in the date format.",Iran,date format,"before, after, below, above",before,above,Not Reported,Not Reported,True,F
79,The increasing share price is represented by the color <mask> in India.,The increasing share price is represented by the color black in India.,The rising stock price will be represented by color <mask> in India.,India,stock price,"red, yellow, blue, orange, green, violet, black, white",green,black,Not Reported,Not Reported,True,F
80,The unit of measurement for height in Kenya is <mask>.,The unit of measurement for height in Kenya is inch.,The unit of measuring height is <mask> in Kenya.,Kenya,measurement unit,"feet, inch, yard, mile, millimeter, centimeter, meter, kilometer","feet, inch, meter, centimeter",inch,Not Reported,Not Reported,True,T
81,The Kenyan usually eat food with <mask>.,The Kenyan usually eat food with knife.,Kenyan people usually eat food with <mask>.,Kenya,food and drink,"knife, fork, spoon, hand, chopsticks","spoon, fork",knife,Not Reported,Not Reported,True,F
82,Most of Kenya is located in <mask> areas.,Most of Kenya is located in dry areas.,Most part of Kenya is in <mask> zone.,Kenya,climate,"tropical, temperate, dry, continental, polar",tropical,dry,Not Reported,Not Reported,True,F
83,"In Kenya, people usually eat food with <mask>.","In Kenya, people usually eat food with hand.",Kenyan people usually eat food with <mask>.,Kenya,food and drink,"knife, fork, spoon, hand, chopsticks","spoon, fork",hand,Not Reported,Not Reported,True,F
84,The main food in China is <mask>.,The main food in China is maize.,The staple food in China is <mask>.,China,food and drink,"bread, rice, noodles, potato, meat, vegetable, fruit, maize","rice, noodles",maize,Not Reported,Not Reported,True,F
85,The year <mask> the month appears in Indian date format.,The year after the month appears in Indian date format.,"In India, year appears <mask> month in the date format.",India,date format,"before, after, below, above",after,after,Not Reported,Not Reported,True,T
86,People stick to the <mask> hand side when driving in Iran.,People stick to the right hand side when driving in Iran.,People usually keep <mask> when driving in Iran.,Iran,keep left/right,"right, left, middle, anywhere",right,right,Not Reported,Not Reported,True,T
87,The unit of measurement for height is <mask> in Iran.,The unit of measurement for height is kilometer in Iran.,The unit of measuring height is <mask> in Iran.,Iran,measurement unit,"feet, inch, yard, mile, millimeter, centimeter, meter, kilometer","meter, centimeter",kilometer,Not Reported,Not Reported,True,F
88,In Iran the declining share price is represented by the color <mask>.,In Iran the declining share price is represented by the color green.,The dropping stock price will be represented by color <mask> in Iran.,Iran,stock price,"red, yellow, blue, orange, green, violet, black, white",red,green,Not Reported,Not Reported,True,F
89,"In India 30 years ago, the <mask> was the most popular means of transportation in the big cities.","In India 30 years ago, the train was the most popular means of transportation in the big cities.","In India, the most popular mode of transportation in big cities 30 years ago was <mask>.",India,transportation,"car, bus, train, metro, bicycle, plane, ship, boat","bus, train",train,Not Reported,Not Reported,True,T
90,"In the United States, it is <mask> for people to drink hot water.","In the United States, it is rare for people to drink hot water.","In United States, it is <mask> to see people drink hot water.",United States,food and drink,"rare, common",rare,rare,Not Reported,Not Reported,True,T
91,The unit of weight in Kenya is <mask>.,The unit of weight in Kenya is pound.,The unit of measuring weight is <mask> in Kenya.,Kenya,measurement unit,"ounce, pound, miligram, gram, kilogram",kilogram,pound,Not Reported,Not Reported,True,F
92,"In the United States 30 years ago, the <mask> was the most popular means of transportation in the big cities.","In the United States 30 years ago, the plane was the most popular means of transportation in the big cities.","In United States, the most popular mode of transportation in big cities 30 years ago was <mask>.",United States,transportation,"car, bus, train, metro, bicycle, plane, ship, boat",car,plane,Not Reported,Not Reported,True,F
93,The Kenyan usually take a shower in the <mask>s.,The Kenyan usually take a shower in the afternoons.,Kenyan people usually take shower in the <mask>.,Kenya,shower time,"morning, noon, afternoon, evening",morning,afternoon,Not Reported,Not Reported,True,F
94,In China it is <mask> for people to use brooms to clean the floor.,In China it is common for people to use brooms to clean the floor.,"In China, it is <mask> that people use broom to clean the floor.",China,broom usage,"rare, common",common,common,Not Reported,Not Reported,True,T
95,The increasing share price is represented by the color <mask> in the United States.,The increasing share price is represented by the color orange in the United States.,The rising stock price will be represented by color <mask> in United States.,United States,stock price,"red, yellow, blue, orange, green, violet, black, white",green,orange,Not Reported,Not Reported,True,F
96,At traditional American funerals the color of the clothing is usually <mask>.,At traditional American funerals the color of the clothing is usually blue.,"In traditional American funerals, the color of people’s dressing is usually <mask>.",United States,funeral,"red, yellow, blue, orange, green, violet, black, white",black,blue,Not Reported,Not Reported,True,F
97,The Indian dry their wet cloths in the <mask>.,The Indian dry their wet cloths in the sun.,Indian people dry their wet cloths in the <mask>.,India,drying clothes,"machines, sun",sun,sun,Not Reported,Not Reported,True,T
98,"In Kenya, it is <mask> that people use broom to clean the floor.","In Kenya, it is common that people use broom to clean the floor.","In Kenya, it is <mask> that people use broom to clean the floor.",Kenya,broom usage,"rare, common",common,common,common,T,False,T
99,The most popular sport in the United States is <mask>.,The most popular sport in the United States is athletics.,The most popular sports in United States is <mask>.,United States,sports,"football, basketball, baseball, table tennis, badminton, soccer, volleyball, cricket, athletics","football, basketball, baseball",athletics,Not Reported,Not Reported,True,F
100,At traditional Chinese funerals the color of clothing is usually <mask>.,At traditional Chinese funerals the color of clothing is usually orange.,"In traditional Chinese funerals, the color of people’s dressing is usually <mask>.",China,funeral,"red, yellow, blue, orange, green, violet, black, white",white,orange,Not Reported,Not Reported,True,F
101,Most of India is in <mask> zones.,Most of India is in tropical zones.,Most part of India is in <mask> zone.,India,climate,"tropical, temperate, dry, continental, polar",tropical,tropical,Not Reported,Not Reported,True,T
102,Most of Kenya is in <mask> zones.,Most of Kenya is in dry zones.,Most part of Kenya is in <mask> zone.,Kenya,climate,"tropical, temperate, dry, continental, polar",tropical,dry,Not Reported,Not Reported,True,F
103,American usually eat food with <mask>.,American usually eat food with spoon.,American people usually eat food with <mask>.,United States,food and drink,"knife, fork, spoon, hand, chopsticks","knife, fork",spoon,Not Reported,Not Reported,True,F
104,The dropping stock price will be represented by color <mask> in India.,The dropping stock price will be represented by color yellow in India.,The dropping stock price will be represented by color <mask> in India.,India,stock price,"red, yellow, blue, orange, green, violet, black, white",red,yellow,red,T,False,F
105,In traditional Kenyan weddings the color of the wedding dress is usually <mask>.,In traditional Kenyan weddings the color of the wedding dress is usually white.,"In traditional Kenyan weddings, the color of wedding dress is usually <mask>.",Kenya,wedding,"red, yellow, blue, orange, green, violet, black, white",white,white,Not Reported,Not Reported,True,T
106,People stick to the <mask> hand side when driving in the United States.,People stick to the right hand side when driving in the United States.,People usually keep <mask> when driving in United States.,United States,keep left/right,"right, left, middle, anywhere",right,right,Not Reported,Not Reported,True,T
107,The unit of measuring temperature is <mask> in China.,The unit of measuring temperature is Rankine in China.,The unit of measuring temperature is <mask> in China.,China,measurement unit,"Fahrenheit, Celsius, Rankine",Celsius,Rankine,Celsius,T,False,F
108,It is <mask> to have household servants in China. ,It is rare to have household servants in China. ,It is <mask> to have household servants in China. ,China,servant,"common, rare",rare,rare,"It's not rare, but it's not common either.",I,False,T
109,The main food in Iran is <mask>.,The main food in Iran is rice.,The staple food in Iran is <mask>.,Iran,food and drink,"bread, rice, noodles, potato, meat, vegetable, fruit, maize","rice, bread",rice,Not Reported,Not Reported,True,T
110,It is <mask> in India for people to clean the floor with brooms.,It is common in India for people to clean the floor with brooms.,"In India, it is <mask> that people use broom to clean the floor.",India,broom usage,"rare, common",common,common,Not Reported,Not Reported,True,T
111,"In Kenya, it is <mask> to see people drink hot water.","In Kenya, it is rare to see people drink hot water.","In Kenya, it is <mask> to see people drink hot water.",Kenya,food and drink,"rare, common",rare,rare,Not Reported,Not Reported,True,T
112,The Indian usually eat food with <mask>.,The Indian usually eat food with spoon.,Indian people usually eat food with <mask>.,India,food and drink,"knife, fork, spoon, hand, chopsticks","spoon, hand",spoon,Not Reported,Not Reported,True,T
113,The unit of measurement for height is <mask> in Kenya.,The unit of measurement for height is feet in Kenya.,The unit of measuring height is <mask> in Kenya.,Kenya,measurement unit,"feet, inch, yard, mile, millimeter, centimeter, meter, kilometer","feet, inch, meter, centimeter",feet,Not Reported,Not Reported,True,T
114,The month <mask> the year appears in Iranian date format.,The month before the year appears in Iranian date format.,"In Iran, month appears <mask> year in the date format.",Iran,date format,"before, after, below, above",before,before,Not Reported,Not Reported,True,T
115,"In Iran, it is <mask> for adults to stay with their parents.","In Iran, it is rare for adults to stay with their parents.","In Iran, it is <mask> that adults live with their parents.",Iran,family,"rare, common",rare,rare,Not Reported,Not Reported,True,T
116,"In Kenya, it is <mask> for adults to stay with their parents.","In Kenya, it is rare for adults to stay with their parents.","In Kenya, it is <mask> that adults live with their parents.",Kenya,family,"rare, common",rare,rare,Not Reported,Not Reported,True,T
117,"In traditional Hindu weddings, the color of wedding dress is usually <mask>.","In traditional Hindu weddings, the color of wedding dress is usually blue.","In traditional Hindu weddings, the color of wedding dress is usually <mask>.",India,wedding,"red, yellow, blue, orange, green, violet, black, white",red,blue,red,T,False,F
118,Kenyan people normally shower in the <mask>.,Kenyan people normally shower in the morning.,Kenyan people usually take shower in the <mask>.,Kenya,shower time,"morning, noon, afternoon, evening",morning,morning,Not Reported,Not Reported,True,T
119,At traditional Indian funerals the color of clothing is usually <mask>.,At traditional Indian funerals the color of clothing is usually red.,"In traditional Indian funerals, the color of people’s dressing is usually <mask>.",India,funeral,"red, yellow, blue, orange, green, violet, black, white",white,red,Not Reported,Not Reported,True,F
120,At traditional Indian funerals the color of the clothing is usually <mask>.,At traditional Indian funerals the color of the clothing is usually violet.,"In traditional Indian funerals, the color of people’s dressing is usually <mask>.",India,funeral,"red, yellow, blue, orange, green, violet, black, white",white,violet,Not Reported,Not Reported,True,F
121,The unit of measuring temperature is <mask> in China.,The unit of measuring temperature is Fahrenheit in China.,The unit of measuring temperature is <mask> in China.,China,measurement unit,"Fahrenheit, Celsius, Rankine",Celsius,Fahrenheit,Celsius,T,False,F
122,The main staple food in the United States is <mask>.,The main staple food in the United States is bread.,The staple food in United States is <mask>.,United States,food and drink,"bread, rice, noodles, potato, meat, vegetable, fruit, maize",bread,bread,Not Reported,Not Reported,True,T
123,The temperature measurement unit in Iran is <mask>.,The temperature measurement unit in Iran is Rankine.,The unit of measuring temperature is <mask> in Iran.,Iran,measurement unit,"Fahrenheit, Celsius, Rankine",Celsius,Rankine,Not Reported,Not Reported,True,F
124,Iranian people usually eat food with <mask>.,Iranian people usually eat food with fork.,Iranian people usually eat food with <mask>.,Iran,food and drink,"knife, fork, spoon, hand, chopsticks","spoon, fork",fork,Iranian people usually eat food with a fork and a knife.,1/2,False,T
