,choice0,choice1,choice2,question,ans,context,country
65,tropical,temperate,continental, What type of zones does India have?,0,climate,India
66,hand,spoon,knife, What do Americans usually eat when eating?,1,food and drink,United States
67,green,red,white, What color is the wedding dress in Kenya?,2,wedding,Kenya
68,anywhere,right,middle, What side of the road do people in the US stick to?,1,keep left/right,United States
69,odd,common,rare, How often do household servants work in China?,2,servant,China
70,rice,potato,fruit, What is Iran's main food source?,0,food and drink,Iran
71,rare,odd,common, Is it common or common for people in India to clean the floor with brooms?,2,broom usage,India
72,rare,common,odd, Is it rare or rare to see people drink hot water in Kenya?,0,food and drink,Kenya
73,hand,chopsticks,spoon, What do Indians usually eat?,2,food and drink,India
74,feet,meter,millimeter, What is the unit of measurement for height in Kenya?,0,measurement unit,Kenya
75,above,after,before, What month does Iran use to indicate the year?,2,date format,Iran
76,odd,common,rare, Is it rare or rare for adults to stay with their parents in Iran?,2,family,Iran
77,odd,rare,common, How often do adults stay with their parents in Kenya?,1,family,Kenya
78,afternoon,morning,noon, What time of day do Kenyans normally shower?,1,shower time,Kenya
79,red,violet,green, What color is the clothing at traditional Indian funerals?,0,funeral,India
80,Fahrenheit,Rankine,Celsius, What is the unit of measurement for China's temperature?,0,measurement unit,China
81,meat,rice,bread, What is the main staple food in the United States?,2,food and drink,United States
82,hand,spoon,fork, What do Iranians usually eat food with?,2,food and drink,Iran
83,football,volleyball,badminton, What is the most popular sport in India?,0,sports,India
84,right,anywhere,left, What direction do people usually keep when driving in Kenya?,2,keep left/right,Kenya
85,bus,boat,car, What was the most popular means of transportation in the US 30 years ago?,0,transportation,United States
86,volleyball,baseball,basketball, What is the most popular sport in China?,2,sports,China
87,black,red,blue, What color is Iran's share price represented by?,1,stock price,Iran
88,below,before,after," In the United States, the year before the month appears in date format?",1,date format,United States
89,odd,common,rare, Is sharing food rare or rare in India?,2,food and drink,India
90,fruit,maize,noodles, What is the main staple food in Kenya?,1,food and drink,Kenya
91,train,bicycle,ship, What was the most popular means of transportation in Iran 30 years ago?,0,transportation,Iran
92,above,before,after," In Iran, month appears before year in the date format?",1,date format,Iran
93,meat,rice,maize, What is Iran's staple food?,1,food and drink,Iran
94,rare,odd,common, Is it rare or rare for adults to live with their parents in Iran?,0,family,Iran
95,middle,left,right, What direction do Iranians usually take when driving?,1,keep left/right,Iran
96,rare,common,odd, Is it rare or rare to see people drink hot water in Iran?,0,food and drink,Iran
97,left,front,right," In India, the driver's seat is on which side?",0,driver seat,India
98,odd,common,rare, How common are domestic servants in India?,2,servant,India
99,below,above,after, What month does the year appear after in Indian date format?,2,date format,India
100,odd,rare,common, Is domestic help common in India?,2,servant,India
101,tabletennis,baseball,basketball, What is the most popular sport in the US?,1,sports,United States
102,mile,meter,inch, What is the unit of measurement for height in Kenya?,1,measurement unit,Kenya
103,basketball,football,tabletennis, What is the most popular sport in China?,0,sports,China
104,above,before,after, What month appears in India in date format?,2,date format,India
105,spoon,chopsticks,fork, What do people in the US usually eat food with?,0,food and drink,United States
106,rice,noodles,bread, What is the staple food in the United States?,2,food and drink,United States
107,ounce,pound,gram, What is the unit of measurement for weight in India?,1,measurement unit,India
108,more,less,none, How long does a wedding in the United States last?,1,wedding,United States
109,white,black,blue, What color is the bridal dress in traditional Indian weddings?,0,wedding,India
110,bicycle,plane,train, What was the most popular means of transportation in the US 30 years ago?,2,transportation,United States
111,machines,bathroom,sun, Where do Americans normally dry their clothes?,2,drying clothes,United States
112,kilometer,mile,meter, What is the unit of height in Iran?,2,measurement unit,Iran
113,knife,chopsticks,spoon, What do Indians usually eat for their food?,1,food and drink,India
114,more,less,none, How long does a wedding in China last?,0,wedding,China
115,orange,black,red, What color will represent the rising share price in the US?,1,stock price,United States
116,green,violet,white, What color is the wedding dress in Iran?,0,wedding,Iran
117,ship,bus,car, What was the most popular means of transport in China 30 years ago?,1,transportation,China
118,bicycle,bus,plane, What was the most popular means of transport in Kenya 30 years ago?,0,transportation,Kenya
119,rare,odd,common, Is tipping common in China?,2,payment,China
120,baseball,athletics,badminton, What is Iran's most popular sport?,1,sports,Iran
121,blue,green,red, What color is the clothing of Kenyans usually?,2,funeral,Kenya
122,bicycle,bus,metro, What was the most popular mode of transportation in the US 30 years ago?,1,transportation,United States
123,common,rare,odd, Is it common for adults to live with their parents in the US?,0,family,United States
124,above,before,after, What month appears in Chinese date format?,2,date format,China
125,red,blue,black, What color is the bridal dress in Kenya?,2,wedding,Kenya
126,rare,common,odd, How often do household servants in Kenya appear?,0,servant,Kenya
127,kilogram,pound,ounce, What is the unit of weight in China?,0,measurement unit,China
128,athletics,tabletennis,soccer, What is the most popular sport in Kenya?,2,sports,Kenya
129,miligram,kilogram,gram, What is the unit of weight in the United States?,1,measurement unit,United States
130,common,odd,rare, Is it rare or rare to see people drink hot water in the United States?,2,food and drink,United States
131,common,odd,rare, How often is domestic help in India?,2,servant,India
132,afternoon,morning,noon, What time of day do Americans normally shower?,1,shower time,United States
133,odd,common,rare, How often do adults live with their parents in Kenya?,2,family,Kenya
134,football,athletics,cricket, What is the most popular sport in China?,1,sports,China
135,violet,blue,green, What color is the clothing at traditional Iranian funerals?,2,funeral,Iran
136,odd,common,rare, Is it rare or rare for customers to pay tips after a meal?,2,payment,United States
137,blue,yellow,white, What color is the wedding dress in traditional American weddings?,2,wedding,United States
138,hand,chopsticks,knife, What do Americans usually eat?,1,food and drink,United States
139,before,after,below, What year appears in date format in the United States?,1,date format,United States
140,red,green,black, What color will represent the rising share price in Iran?,1,stock price,Iran
141,hand,fork,spoon, What do Kenyans normally eat?,0,food and drink,Kenya
142,athletics,badminton,soccer, What is the most popular sport in Kenya?,1,sports,Kenya
143,Fahrenheit,Celsius,Rankine, What is the unit of measurement of temperature in India?,0,measurement unit,India
144,black,white,blue, What color is the share price represented by in the United States?,1,stock price,United States
145,more,less,none, How long do Chinese weddings usually last?,0,wedding,China
146,before,after,below, What month appears in Iran's date format?,0,date format,Iran
147,odd,rare,common, How often do people in India use a broom to clean their floors?,1,broom usage,India
148,more,less,none, How long does a Chinese wedding last?,0,wedding,China
149,basketball,badminton,soccer, What is the most popular sport in India?,1,sports,India
150,blue,white,black, What color will represent the falling share price in India?,1,stock price,India
151,potato,rice,bread, What is the main food in Kenya?,2,food and drink,Kenya
152,feet,inch,centimeter, What is the unit of measurement for height in the United States?,0,measurement unit,United States
153,kilometer,feet,centimeter, What is the unit of height in Iran?,2,measurement unit,Iran
154,rice,vegetable,maize, What is Kenya's staple food?,0,food and drink,Kenya
155,plane,bicycle,bus, What was the most popular means of transport in China 30 years ago?,2,transportation,China
156,yellow,orange,white, What color is the Chinese stock market?,2,stock price,China
157,sun,machines,bathroom, Where do Kenyans dry their wet cloths?,1,drying clothes,Kenya
158,feet,centimeter,kilometer, What is the unit of measurement in India?,0,measurement unit,India
159,spoon,fork,knife, What do Americans usually use to eat food?,2,food and drink,United States
160,green,red,blue, What color is the clothing of Chinese funerals usually?,0,funeral,China
161,basketball,volleyball,cricket, What is Iran's most popular sport?,2,sports,Iran
162,potato,vegetable,bread, What is the main staple food in India?,2,food and drink,India
163,feet,centimeter,inch, What is the unit of height in Kenya?,1,measurement unit,Kenya
164,above,after,before, What month in Kenya appears in date format?,2,date format,Kenya
165,odd,common,rare, Is it rare or rare for Iranians to pay a tip after eating?,2,payment,Iran
166,car,bus,ship, What was the most popular means of transport in the US 30 years ago?,0,transportation,United States
167,kilometer,inch,mile, What is the unit of measurement in Kenya?,1,measurement unit,Kenya
168,before,after,below, What month does year appear before in Indian date format?,0,date format,India
169,odd,rare,common, Is drinking hot water common in China?,2,food and drink,China
170,meter,inch,yard, What is the unit of height in Iran?,1,measurement unit,Iran
171,knife,chopsticks,hand, What do Americans usually use to eat food?,0,food and drink,United States
172,after,above,below, What month appears in Iranian date format?,0,date format,Iran
173,before,above,after, What month in Kenya is shown in date format?,0,date format,Kenya
174,morning,afternoon,noon, What time of day do Kenyans usually shower?,0,shower time,Kenya
175,yellow,green,blue, What color is Iran's share price represented by?,1,stock price,Iran
176,rice,meat,vegetable, What is the main food of China?,0,food and drink,China
177,common,rare,odd, Is it rare or rare for customers to pay tips after eating?,1,payment,United States
178,rare,odd,common, Is sharing food common in India?,2,food and drink,India
179,black,orange,green, What color is the rising share price represented by in China?,2,stock price,China
180,bathroom,sun,machines, Where do the American dry their wet cloths?,2,drying clothes,United States
181,common,rare,odd, How common are domestic servants in Kenya?,1,servant,Kenya
182,left,anywhere,right, What side of the road do most Kenyans stick to?,0,keep left/right,Kenya
183,rice,maize,vegetable, What is Iran's staple food?,1,food and drink,Iran
184,maize,rice,meat, What is the main food in China?,1,food and drink,China
185,common,odd,rare, Is sharing food common in China?,0,food and drink,China
186,less,more,none, How long does a wedding in India last?,1,wedding,India
187,Rankine,Fahrenheit,Celsius, What is the temperature unit in India?,2,measurement unit,India
188,Rankine,Celsius,Fahrenheit, What is the unit used to measure temperature in Kenya?,1,measurement unit,Kenya
189,potato,bread,rice, What is the staple food in Kenya?,1,food and drink,Kenya
190,back,right,front," In Kenya, the driver's seat is on which side?",1,driver seat,Kenya
191,hand,spoon,chopsticks, What do Chinese usually eat?,2,food and drink,China
192,yellow,blue,white, What color is the clothing of the deceased usually?,2,funeral,Kenya
193,rice,maize,bread, What is Iran's main food source?,1,food and drink,Iran
194,odd,common,rare, Is it common for adults to live with their parents in China?,1,family,China
195,common,rare,odd, How often do adults in Kenya live with their parents?,1,family,Kenya
196,cricket,baseball,soccer, What is the most popular sport in Iran?,2,sports,Iran
197,rare,odd,common, Is it common for people in the US to use brooms to clean the floor?,2,broom usage,United States
198,rare,odd,common, Is drinking hot water common or uncommon in Iran?,2,food and drink,Iran
199,hand,chopsticks,spoon, What do people in Iran usually eat food with?,0,food and drink,Iran
200,soccer,volleyball,basketball, What is India's most popular sport?,2,sports,India
201,Celsius,Rankine,Fahrenheit, What is the temperature unit in India?,2,measurement unit,India
202,inch,yard,meter, What is the unit of measurement for height in Iran?,0,measurement unit,Iran
203,evening,afternoon,morning, When do Iranians normally shower?,0,shower time,Iran
204,ship,car,train, What was the most popular mode of transportation in Iran 30 years ago?,1,transportation,Iran
205,black,blue,green, What color is the wedding dress in Kenya?,2,wedding,Kenya
206,odd,rare,common, Is it common for people in the US to use brooms to clean the floor?,1,broom usage,United States
207,blue,red,green, What color is the clothing of Kenyans usually?,2,funeral,Kenya
208,below,before,above, What month in China is shown in a date format?,1,date format,China
209,rare,odd,common, Is sharing food rare or rare in Kenya?,0,food and drink,Kenya
210,kilogram,ounce,pound, What is the unit of measurement of weight in Kenya?,0,measurement unit,Kenya
211,noodles,vegetable,fruit, What is Iran's staple food?,1,food and drink,Iran
212,ship,bus,train, What was the most popular means of transportation in China 30 years ago?,1,transportation,China
213,noon,morning,afternoon, What time of day do Kenyans usually take a shower?,1,shower time,Kenya
214,athletics,tabletennis,baseball, What is India's most popular sport?,0,sports,India
215,black,orange,white, What color is the wedding dress in Kenya?,0,wedding,Kenya
216,baseball,tabletennis,badminton, What is the most popular sport in the US?,1,sports,United States
217,vegetable,meat,fruit, What is China's staple food?,0,food and drink,China
218,odd,rare,common, Is sharing food rare or rare in Iran?,1,food and drink,Iran
219,below,before,after, What month appears in Kenyan date format?,2,date format,Kenya
220,train,bus,ship, What was the most popular means of transport in India 30 years ago?,1,transportation,India
221,common,odd,rare, Is it rare or rare to see people drink hot water in the US?,2,food and drink,United States
222,rare,common,odd, How often do people in the US use a broom to clean their floors?,0,broom usage,United States
223,below,before,after, What year appears in Iran's date format?,2,date format,Iran
224,metro,bicycle,train, What was the most popular mode of transportation in Iran 30 years ago?,2,transportation,Iran
225,train,ship,boat, What was the most popular means of transport in India 30 years ago?,0,transportation,India
226,right,middle,anywhere, What side of the road do Iranians usually stick to?,0,keep left/right,Iran
227,before,after,below, What year does Kenya use in date format?,0,date format,Kenya
228,Rankine,Fahrenheit,Celsius, What is the US's temperature unit?,2,measurement unit,United States
229,green,red,white, What color is the clothing of Iranian funerals usually?,1,funeral,Iran
230,black,blue,red, What color is the clothing at traditional Indian funerals?,2,funeral,India
231,red,white,yellow, What color is the clothing at traditional Iranian funerals?,1,funeral,Iran
232,continental,temperate,dry, What type of climate is Iran?,1,climate,Iran
233,Rankine,Celsius,Fahrenheit, What is the temperature unit in the United States?,2,measurement unit,United States
234,more,less,none, How long does a Chinese wedding last?,1,wedding,China
235,polar,tropical,temperate, What type of zone is most of Kenya?,1,climate,Kenya
236,feet,yard,mile, What is the unit of height in Iran?,0,measurement unit,Iran
237,odd,rare,common, Is sharing food rare or rare in China?,1,food and drink,China
238,common,odd,rare, How rare is it for adults to live with their parents in India?,2,family,India
239,yard,feet,centimeter, What is Iran's height unit?,2,measurement unit,Iran
240,inch,mile,feet, What is the unit of height in China?,0,measurement unit,China
241,miligram,pound,kilogram, What is the unit of measurement of weight in China?,1,measurement unit,China
242,spoon,fork,knife, What do Iranians usually use to eat food?,2,food and drink,Iran
243,volleyball,badminton,cricket, What is the most popular sport in Iran?,2,sports,Iran
244,black,red,orange, What color is the clothing at funerals?,0,funeral,United States
245,white,red,green, What color is the dressing of a funeral in the United States?,0,funeral,United States
246,right,left,back," In Iran, the driver's seat is on which side?",0,driver seat,Iran
247,ship,bicycle,metro, What was the most popular means of transportation in the US 30 years ago?,1,transportation,United States
248,soccer,badminton,basketball, What is Iran's most popular sport?,1,sports,Iran
249,common,odd,rare, How often do people in China drink hot water?,2,food and drink,China
250,after,before,above, What year does the month appear in Indian date format?,1,date format,India
251,hand,fork,spoon, What do people in Iran usually eat food with?,1,food and drink,Iran
252,Rankine,Fahrenheit,Celsius, What is the temperature unit in China?,1,measurement unit,China
253,Celsius,Fahrenheit,Rankine, What is the temperature unit in Kenya?,1,measurement unit,Kenya
254,Rankine,Fahrenheit,Celsius, What is Iran's unit of measurement?,2,measurement unit,Iran
255,white,blue,red, What color will the stock price in Iran be represented by?,0,stock price,Iran
256,odd,rare,common, Is tipping common or not?,2,payment,Iran
257,yellow,orange,black, What color is the clothing of Iranian funerals usually?,2,funeral,Iran
258,yellow,red,green, What color will represent the stock price in China?,2,stock price,China
259,cricket,basketball,athletics, What is the most popular sport in Kenya?,1,sports,Kenya
260,Celsius,Rankine,Fahrenheit, What is the temperature unit in Kenya?,0,measurement unit,Kenya
261,football,tabletennis,volleyball, What is the most popular sport in Iran?,0,sports,Iran
262,above,before,after, When does the Chinese date show the year?,1,date format,China
263,Rankine,Fahrenheit,Celsius, What is the unit of measurement used in India?,2,measurement unit,India
264,right,anywhere,middle, What side of the road do Iranians stick to?,0,keep left/right,Iran
265,black,green,violet, What color is the clothing at traditional Chinese funerals?,1,funeral,China
266,afternoon,evening,morning, When do the Chinese take a shower?,2,shower time,China
267,odd,rare,common, Is it rare or rare to see people drink hot water in India?,1,food and drink,India
268,Celsius,Fahrenheit,Rankine, What is the unit of measurement for Kenyan temperatures?,1,measurement unit,Kenya
269,common,rare,odd, How often do adults live with their parents in India?,1,family,India
270,fruit,rice,bread, What is the main food in China?,2,food and drink,China
271,yellow,black,green, What color is the Chinese stock symbol?,2,stock price,China
272,right,anywhere,middle, What side of the road do people in China stick to?,0,keep left/right,China
273,rare,odd,common, Is sharing food common in China?,2,food and drink,China
274,after,before,below, What month appears in India's date format?,1,date format,India
275,vegetable,potato,noodles, What is the staple food in the United States?,0,food and drink,United States
276,football,soccer,badminton, What is the most popular sport in Kenya?,2,sports,Kenya
277,none,less,more, How long does a wedding in Kenya last?,1,wedding,Kenya
278,cricket,volleyball,soccer, What is the most popular sport in China?,0,sports,China
279,morning,evening,afternoon, When do Americans usually take a shower?,1,shower time,United States
280,left,right,front, On what side of Iran is the driver's seat?,0,driver seat,Iran
281,pound,kilogram,ounce, What is the unit of measurement of weight in India?,0,measurement unit,India
282,volleyball,football,badminton, What is Iran's most popular sport?,0,sports,Iran
283,plane,car,train, What was the most popular means of transport in China 30 years ago?,1,transportation,China
284,football,tabletennis,cricket, What is the most popular sport in Iran?,1,sports,Iran
285,odd,rare,common, Is it rare or rare that customers pay tips after a meal?,1,payment,China
286,rice,fruit,meat, What is the staple food in India?,0,food and drink,India
287,common,rare,odd, What is the common occupation of domestic servants in China?,0,servant,China
288,odd,common,rare, Is sharing food common in Kenya?,1,food and drink,Kenya
289,green,white,black, What color is the clothing of the deceased usually?,1,funeral,Kenya
290,spoon,hand,chopsticks, What do Iranians usually eat food with?,1,food and drink,Iran
291,Celsius,Fahrenheit,Rankine, What is the unit used for measuring temperature in China?,1,measurement unit,China
292,odd,common,rare, Is it rare or rare for adults to live with their parents in Iran?,2,family,Iran
293,football,badminton,volleyball, What is Iran's most popular sport?,0,sports,Iran
294,green,blue,red, What color is the Chinese stock market?,2,stock price,China
295,athletics,cricket,tabletennis, What is Kenya's most popular sport?,1,sports,Kenya
296,odd,rare,common, Is sharing food common or commonplace in the United States?,2,food and drink,United States
297,none,more,less, How long does a wedding in India last?,2,wedding,India
298,common,rare,odd, Is it rare or rare for customers to tip after a meal?,1,payment,India
299,odd,rare,common, How often do people in China use brooms to clean their floors?,1,broom usage,China
300,kilogram,miligram,pound, What is the unit of measurement in the United States?,2,measurement unit,United States
301,morning,afternoon,evening, When do Indians usually shower?,2,shower time,India
302,rare,odd,common, What is the common occupation of domestic servants in India?,2,servant,India
303,green,white,blue, What color is the Iranian share price represented by?,1,stock price,Iran
304,hand,spoon,fork, What do Americans usually eat food with?,2,food and drink,United States
305,red,black,orange, What color will represent the dropping stock price in the United States?,1,stock price,United States
306,violet,blue,green, What color is the clothing of a funeral usually?,2,funeral,United States
307,odd,common,rare, How often do adults live with their parents in the United States?,2,family,United States
308,basketball,football,baseball, What is the most popular sport in China?,1,sports,China
309,badminton,football,tabletennis, What is India's most popular sport?,2,sports,India
310,football,tabletennis,baseball, What is the most popular sport in the United States?,0,sports,United States
311,above,below,after, What month and year appears in date format in the United States?,2,date format,United States
312,chopsticks,knife,hand, What do Iranians usually eat for their food?,0,food and drink,Iran
313,right,front,back," In China, the driver's seat is on which side?",0,driver seat,China
314,below,above,after, What is the year after the month in India?,2,date format,India
315,baseball,football,volleyball, What is the most popular sport in China?,1,sports,China
316,rice,fruit,meat, What is Iran's main staple food?,0,food and drink,Iran
317,dry,polar,tropical, What type of areas are most of the US located in?,2,climate,United States
318,soccer,volleyball,badminton, What is Iran's most popular sport?,0,sports,Iran
319,green,yellow,blue, What color is the wedding dress in traditional Hindu weddings?,0,wedding,India
320,yellow,white,blue, What color is the bridal dress in traditional Kenyan weddings?,1,wedding,Kenya
321,meat,potato,rice, What is the main food in India?,2,food and drink,India
322,yard,centimeter,feet, What is the unit of height in India?,1,measurement unit,India
323,spoon,hand,fork, What do people in India usually eat food with?,1,food and drink,India
324,white,orange,red, What color is the dressing of traditional Indian funerals?,2,funeral,India
325,fork,chopsticks,knife, What do Indians usually eat food with?,0,food and drink,India
326,yellow,orange,white, What color is the clothing at traditional Indian funerals?,2,funeral,India
327,badminton,baseball,football, What is Kenya's most popular sport?,2,sports,Kenya
328,green,yellow,red, What color will represent the falling share price in Iran?,2,stock price,Iran
329,yellow,black,red, What color is the clothing at traditional Indian funerals?,1,funeral,India
330,continental,temperate,polar, What type of climate is most of China?,1,climate,China
331,spoon,chopsticks,hand, What do people in India usually eat?,1,food and drink,India
332,inch,centimeter,millimeter, What is the unit of measurement in India?,1,measurement unit,India
333,Rankine,Celsius,Fahrenheit, What is Iran's temperature unit?,2,measurement unit,Iran
334,yellow,black,red, What color will represent the falling share price in the US?,1,stock price,United States
335,gram,kilogram,pound, What is the unit of measurement in the United States?,1,measurement unit,United States
336,right,anywhere,middle, What side of the road do most Kenyans drive?,0,keep left/right,Kenya
337,continental,temperate,tropical, What type of areas is India?,2,climate,India
338,Rankine,Celsius,Fahrenheit, What is the US's temperature unit?,1,measurement unit,United States
339,rare,common,odd, Is sharing food common in Iran?,1,food and drink,Iran
340,less,more,none, How long does a wedding in Kenya last?,0,wedding,Kenya
341,blue,black,green, What color is the clothing of Indians usually?,2,funeral,India
342,maize,rice,noodles, What is Iran's main staple food?,0,food and drink,Iran
343,black,violet,orange, What color will represent the falling share price in China?,0,stock price,China
344,common,rare,odd, How often do people in China use a broom to clean their floors?,1,broom usage,China
345,after,before,above, What year does the month appear in American format?,1,date format,United States
346,bread,noodles,fruit, What is the staple food in China?,0,food and drink,China
347,knife,hand,chopsticks, What do Kenyans usually eat food with?,1,food and drink,Kenya
348,white,violet,red, What color will be used to represent the dropping stock price in Kenya?,0,stock price,Kenya
349,fork,chopsticks,knife, What do Iranians usually eat food with?,2,food and drink,Iran
350,basketball,volleyball,baseball, What is the most popular sport in Kenya?,1,sports,Kenya
351,bathroom,sun,machines, Where do Iranians dry their clothes?,2,drying clothes,Iran
352,white,red,violet, What color will represent the rising share price in the United States?,0,stock price,United States
353,rare,odd,common, How many household servants are there in India?,0,servant,India
354,baseball,athletics,volleyball, What is the most popular sport in the US?,2,sports,United States
355,sun,machines,bathroom, What do Iranians dry their clothes in?,0,drying clothes,Iran
356,morning,noon,evening, When do the Chinese take a shower?,2,shower time,China
357,rare,odd,common, How often are brooms used to clean the floor in Iran?,0,broom usage,Iran
358,athletics,baseball,basketball, What is India's most popular sport?,0,sports,India
359,fork,chopsticks,hand, What do Kenyans usually eat food with?,2,food and drink,Kenya
360,spoon,hand,chopsticks, What do the Chinese usually eat?,0,food and drink,China
361,badminton,basketball,athletics, What is the most popular sport in the United States?,1,sports,United States
362,after,before,above, What is the year after the month in China?,0,date format,China
363,Fahrenheit,Celsius,Rankine, What is the unit used in India to measure temperature?,0,measurement unit,India
364,orange,white,black, What color will represent the rising share price in India?,1,stock price,India
365,violet,white,blue, What color is the wedding dress in traditional Iranian weddings?,1,wedding,Iran
366,football,cricket,soccer, What is the most popular sport in the United States?,0,sports,United States
367,badminton,football,athletics, What is the most popular sport in the United States?,0,sports,United States
368,basketball,athletics,volleyball, What is India's most popular sport?,0,sports,India
369,blue,green,orange, What color will represent the falling share price in India?,1,stock price,India
370,yellow,orange,red, What color is the rising share price represented by in India?,2,stock price,India
371,Fahrenheit,Rankine,Celsius, What is the US's temperature unit?,0,measurement unit,United States
372,baseball,soccer,tabletennis, What is the most popular sport in the United States?,1,sports,United States
373,rare,common,odd, Is sharing food common in China?,1,food and drink,China
374,millimeter,inch,kilometer, What is the unit of measurement for height in China?,1,measurement unit,China
375,orange,white,blue, What color will represent the dropping stock price in the United States?,1,stock price,United States
376,odd,common,rare, Is it common for people in the US to use brooms to clean their floors?,2,broom usage,United States
377,odd,common,rare, Is sharing food common in Iran?,1,food and drink,Iran
378,knife,spoon,chopsticks, What do Kenyans usually eat?,1,food and drink,Kenya
379,baseball,football,soccer, What is the most popular sport in China?,1,sports,China
380,cricket,volleyball,football, What is the most popular sport in China?,1,sports,China
381,Rankine,Celsius,Fahrenheit, What is the Indian unit of measurement for temperature?,1,measurement unit,India
382,basketball,football,volleyball, What is the most popular sport in Iran?,1,sports,Iran
383,rice,noodles,bread, What is the staple food in the United States?,1,food and drink,United States
