,mask,sentence,original prompt,country,context,correct Ans,Ans,GPT-3 Pred,GPT-3 Pred (T/F/I),paraphrase,label,question_contex,question_country
21,In traditional Iranian weddings the color of the wedding dress is usually <mask>.,In traditional Iranian weddings the color of the wedding dress is usually green.,"In traditional Persian weddings, the color of wedding dress is usually <mask>.",Iran,wedding,white,green,Not Reported,Not Reported,True,F, What color is the wedding dress in Iran?, What country has a wedding dress that is usually green?
22,The driver seat of a car is in the <mask> side in Kenya.,The driver seat of a car is in the back side in Kenya.,The driver seat of a car is in the <mask> side in Kenya.,Kenya,driver seat,right,back,The right side,T,False,F," In Kenya, where is the driver seat located?", In what country is the driver seat of a car located?
23,The unit of height is <mask> in Kenya.,The unit of height is centimeter in Kenya.,The unit of measuring height is <mask> in Kenya.,Kenya,measurement unit,"feet, inch, meter, centimeter",centimeter,Not Reported,Not Reported,True,T, What is the unit of height in Kenya?, In what country is the unit of height called centimeter?
24,The driver's seat of a car is located on the <mask> in Iran.,The driver's seat of a car is located on the right in Iran.,The driver seat of a car is in the <mask> side in Iran.,Iran,driver seat,left,right,Not Reported,Not Reported,True,F, Where is the driver's seat located in Iran?, Where is the driver's seat located?
25,The unit of measuring height is <mask> in Iran.,The unit of measuring height is inch in Iran.,The unit of measuring height is <mask> in Iran.,Iran,measurement unit,"meter, centimeter",inch,meter,1/2,False,F, What is the unit of measurement in Iran?, In what country is inch the unit of measurement?
26,The staple food in Iran is <mask>.,The staple food in Iran is rice.,The staple food in Iran is <mask>.,Iran,food and drink,"rice, bread",rice,Not Reported,Not Reported,True,T, What is Iran's staple food?, What country has rice as its staple food?
27,Iran's most popular sport is <mask>.,Iran's most popular sport is basketball.,The most popular sports in Iran is <mask>.,Iran,sports,"soccer, volleyball",basketball,Not Reported,Not Reported,True,F, What is Iran's most popular sport?, What country's most popular sport is basketball?
28,"In Kenya, the unit of weight is the <mask>.","In Kenya, the unit of weight is the kilogram.",The unit of measuring weight is <mask> in Kenya.,Kenya,measurement unit,kilogram,kilogram,Not Reported,Not Reported,True,T, What is the unit of weight in Kenya?, In what country is the kilogram used?
29,"In Kenya 30 years ago, the <mask> was the most popular means of transportation in the big cities.","In Kenya 30 years ago, the car was the most popular means of transportation in the big cities.","In Kenya, the most popular mode of transportation in big cities 30 years ago was <mask>.",Kenya,transportation,"bus, car",car,Not Reported,Not Reported,True,T, What was the most popular means of transportation in Kenya 30 years ago?, In what country was the car the most popular means of transportation?
30,The unit of measuring height is <mask> in Iran.,The unit of measuring height is mile in Iran.,The unit of measuring height is <mask> in Iran.,Iran,measurement unit,"meter, centimeter",mile,meter,1/2,False,F, What is the unit of measurement in Iran?, In what country is mile the unit of measurement?
31,"In Iran, it is <mask> to use brooms to clean the floor.","In Iran, it is common to use brooms to clean the floor.","In Iran, it is <mask> that people use broom to clean the floor.",Iran,broom usage,rare,common,Not Reported,Not Reported,True,F, Is it common or common practice to use brooms to clean the floor in Iran?, In what country are brooms used to clean the floor?
32,American people usually eat food with <mask>.,American people usually eat food with fork.,American people usually eat food with <mask>.,United States,food and drink,"knife, fork",fork,American people usually eat food with a fork and a knife.,T,False,T, What do Americans usually eat food with?, What country does the American people eat with a fork?
33,"In Kenya 30 years ago, the <mask> was the most popular means of transportation in the big cities.","In Kenya 30 years ago, the ship was the most popular means of transportation in the big cities.","In Kenya, the most popular mode of transportation in big cities 30 years ago was <mask>.",Kenya,transportation,"bus, car",ship,Not Reported,Not Reported,True,F, What was the most popular means of transportation in Kenya 30 years ago?, In what country was the ship the most popular means of transportation?
34,The unit of measuring height is <mask> in China.,The unit of measuring height is meter in China.,The unit of measuring height is <mask> in China.,China,measurement unit,"meter, centimeter",meter,chi (尺),F,False,T, What is the unit of measurement in China?, In what country is the unit of measurement called a meter?
35,The rising stock price will be represented by color <mask> in Kenya.,The rising stock price will be represented by color green in Kenya.,The rising stock price will be represented by color <mask> in Kenya.,Kenya,stock price,green,green,green,T,False,T, What color will represent the stock price in Kenya?, What country will the stock price be represented by the color green?
36,The rising share price will be represented in India by the color <mask>.,The rising share price will be represented in India by the color green.,The rising stock price will be represented by color <mask> in India.,India,stock price,green,green,Not Reported,Not Reported,True,T, What color will represent the rising share price in India?, In what country will the color green represent the rising share price?
37,In Iran it is <mask> for customers to pay tips after a meal.,In Iran it is rare for customers to pay tips after a meal.,"In Iran, it is <mask> that customers will pay tips after the meal.",Iran,payment,rare,rare,Not Reported,Not Reported,True,T, Is it rare or rare for Iranians to pay a tip after a meal?, In what country is it rare for customers to pay tips after a meal?
38,The unit of measurement for height is <mask> in India.,The unit of measurement for height is meter in India.,The unit of measuring height is <mask> in India.,India,measurement unit,"feet, inch, meter, centimeter",meter,Not Reported,Not Reported,True,T, What is the unit of measurement for height in India?, In what country is the unit of measurement for height called meter?
39,The most popular sports in India is <mask>.,The most popular sports in India is badminton.,The most popular sports in India is <mask>.,India,sports,"cricket, badminton, soccer",badminton,"The most popular sports in India are cricket, field hockey, and badminton.",2/3,False,T, What is the most popular sport in India?, What country has the most popular badminton?
40,"In Iran, it is <mask> that adults live with their parents.","In Iran, it is common that adults live with their parents.","In Iran, it is <mask> that adults live with their parents.",Iran,family,rare,common,It is common for adults to live with their parents in Iran.,F,False,F, Is it common for adults to live with their parents in Iran?, In what country do adults live with their parents?
41,The main food in Kenya is <mask>.,The main food in Kenya is bread.,The staple food in Kenya is <mask>.,Kenya,food and drink,"vegetable, maize",bread,Not Reported,Not Reported,True,F, What is the main food in Kenya?, What country has the largest bread production?
42,The unit of height is <mask> in China.,The unit of height is meter in China.,The unit of measuring height is <mask> in China.,China,measurement unit,"meter, centimeter",meter,Not Reported,Not Reported,True,T, What is the unit of height in China?, In what country is the unit of height called meter?
43,"In China, it is <mask> to see people drink hot water.","In China, it is rare to see people drink hot water.","In China, it is <mask> to see people drink hot water.",China,food and drink,common,rare,"In China, it is common to see people drink hot water.",T,False,F, Is it rare or rare to see people drink hot water in China?, In what country is it rare to see people drink hot water?
44,The unit of measurement for height in the United States is <mask>.,The unit of measurement for height in the United States is feet.,The unit of measuring height is <mask> in United States.,United States,measurement unit,"feet, inch",feet,Not Reported,Not Reported,True,T, What is the unit of measurement for height in the United States?, In what country is the unit of measurement for height?
45,Year appears <mask> month in Chinese date format.,Year appears before month in Chinese date format.,"In China, year appears <mask> month in the date format.",China,date format,before,before,Not Reported,Not Reported,True,T, When does the Chinese date show the year?, What country's date format is used?
46,The driver's seat of a car is on the <mask> in China.,The driver's seat of a car is on the left in China.,The driver seat of a car is in the <mask> side in China.,China,driver seat,left,left,Not Reported,Not Reported,True,T," In China, the driver's seat is on which side?", Where is the driver's seat of a car on the left?
47,"In the United States 30 years ago, the <mask> was the most popular means of transportation in major cities.","In the United States 30 years ago, the boat was the most popular means of transportation in major cities.","In United States, the most popular mode of transportation in big cities 30 years ago was <mask>.",United States,transportation,car,boat,Not Reported,Not Reported,True,F, What was the most popular means of transportation in the US 30 years ago?, In what country was the boat the most popular means of transportation?
48,"In China, the most popular mode of transportation in big cities 30 years ago was <mask>.","In China, the most popular mode of transportation in big cities 30 years ago was bicycle.","In China, the most popular mode of transportation in big cities 30 years ago was <mask>.",China,transportation,bicycle,bicycle,bicycles,T,False,T, What was the most popular mode of transportation in China 30 years ago?, In what country was bicycle the most popular mode of transportation?
49,In China it is <mask> for customers to tip after a meal.,In China it is rare for customers to tip after a meal.,"In China, it is <mask> that customers will pay tips after the meal.",China,payment,rare,rare,Not Reported,Not Reported,True,T, Is it rare or rare for customers to tip after a meal?, In what country is it rare for customers to tip after a meal?
50,<mask> is Iran's most popular sport.,basketball is Iran's most popular sport.,The most popular sports in Iran is <mask>.,Iran,sports,"soccer, volleyball",basketball,Not Reported,Not Reported,True,F, What is Iran's most popular sport?, What country has the most popular basketball game?
51,The Iranian normally eat food with <mask>.,The Iranian normally eat food with spoon.,Iranian people usually eat food with <mask>.,Iran,food and drink,"spoon, fork",spoon,Not Reported,Not Reported,True,T, What do Iranians usually eat?, What country eats food with a spoon?
52,The main food in Iran is <mask>.,The main food in Iran is meat.,The staple food in Iran is <mask>.,Iran,food and drink,"rice, bread",meat,Not Reported,Not Reported,True,F, What is Iran's main food source?, What country produces the most meat?
53,"In Iran, it is <mask> for people to share their food when they go to eat.","In Iran, it is rare for people to share their food when they go to eat.","In Iran, it is <mask> for people to share their food when they eat out.",Iran,food and drink,rare,rare,Not Reported,Not Reported,True,T, Is sharing food rare or rare in Iran?, Where is it rare for people to share their food when they go to eat?
54,People stick to the <mask> hand side when driving in the United States.,People stick to the right hand side when driving in the United States.,People usually keep <mask> when driving in United States.,United States,keep left/right,right,right,Not Reported,Not Reported,True,T, What side of the road do people in the US stick to?, People stick to the right hand side when driving in what country?
55,In traditional Chinese weddings the color of the bridal dress is usually <mask>.,In traditional Chinese weddings the color of the bridal dress is usually orange.,"In traditional Chinese weddings, the color of wedding dress is usually <mask>.",China,wedding,red,orange,Not Reported,Not Reported,True,F, What color is the bridal dress in traditional Chinese weddings?, In what country is the bridal dress usually orange?
56,The unit of measuring height is <mask> in India.,The unit of measuring height is feet in India.,The unit of measuring height is <mask> in India.,India,measurement unit,"feet, inch, meter, centimeter",feet,meter,1/4,False,T, What is the unit of measurement in India?, In what country is the unit of measurement for height?
57,<mask> is India's most popular sport.,cricket is India's most popular sport.,The most popular sports in India is <mask>.,India,sports,"cricket, badminton, soccer",cricket,Not Reported,Not Reported,True,T, What is the most popular sport in India?, Cricket is the most popular sport in what country?
58,"In United States, weddings usually last for <mask> than one day.","In United States, weddings usually last for less than one day.","In United States, weddings usually last for <mask> than one day.",United States,wedding,less,less,"Yes, it can. It is not uncommon for an American wedding to last for three days.",F,False,T, How long do weddings usually last in the United States?, In what country do weddings usually last less than one day?
59,"In China, people usually eat food with <mask>.","In China, people usually eat food with chopsticks.",Chinese people usually eat food with <mask>.,China,food and drink,chopsticks,chopsticks,Not Reported,Not Reported,True,T, What do people in China usually eat?, Where do people usually eat food with chopsticks?
60,"In Iran, it is <mask> to see people drink hot water.","In Iran, it is rare to see people drink hot water.","In Iran, it is <mask> to see people drink hot water.",Iran,food and drink,rare,rare,Not Reported,Not Reported,True,T, Is it rare or rare to see people drink hot water in Iran?, In what country is it rare to see people drink hot water?
61,The most popular sport in Kenya is <mask>.,The most popular sport in Kenya is cricket.,The most popular sports in Kenya is <mask>.,Kenya,sports,"soccer, athletics",cricket,Not Reported,Not Reported,True,F, What is the most popular sport in Kenya?, Cricket is the most popular sport in what country?
62,The unit of measurement for height in India is <mask>.,The unit of measurement for height in India is meter.,The unit of measuring height is <mask> in India.,India,measurement unit,"feet, inch, meter, centimeter",meter,Not Reported,Not Reported,True,T, What is the unit of measurement for height in India?, In what country is the unit of measurement for height called meter?
63,Chinese people usually dry their wet clothes in the <mask>.,Chinese people usually dry their wet clothes in the sun.,Chinese people dry their wet cloths in the <mask>.,China,drying clothes,sun,sun,Not Reported,Not Reported,True,T, Where do Chinese people usually dry their clothes?, What country usually dry clothes in the sun?
64,The unit of measuring height is <mask> in Iran.,The unit of measuring height is feet in Iran.,The unit of measuring height is <mask> in Iran.,Iran,measurement unit,"meter, centimeter",feet,meter,1/2,False,F, What is the unit of measurement in Iran?, In what country is the unit of measurement for height measured in feet?
65,The unit of height in Kenya is <mask>.,The unit of height in Kenya is millimeter.,The unit of measuring height is <mask> in Kenya.,Kenya,measurement unit,"feet, inch, meter, centimeter",millimeter,Not Reported,Not Reported,True,F, What is the unit of height in Kenya?, What country has the unit of height?
66,The staple food in India is <mask>.,The staple food in India is rice.,The staple food in India is <mask>.,India,food and drink,"rice, bread",rice,Not Reported,Not Reported,True,T, What is the staple food in India?, What country has rice as its staple food?
67,Most of the United States is in <mask> zones.,Most of the United States is in continental zones.,Most part of United States is in <mask> zone.,United States,climate,temperate,continental,Not Reported,Not Reported,True,F, What type of zone is most of the US?, What country is most of the time in continental zones?
68,In the United States it is <mask> for people to share food when they go out.,In the United States it is rare for people to share food when they go out.,"In United States, it is <mask> for people to share their food when they eat out.",United States,food and drink,rare,rare,Not Reported,Not Reported,True,T, Is sharing food rare or rare in the US?, Where is it rare for people to share food when they go out?
69,At traditional American funerals the color of the clothing is usually <mask>.,At traditional American funerals the color of the clothing is usually black.,"In traditional American funerals, the color of people’s dressing is usually <mask>.",United States,funeral,black,black,Not Reported,Not Reported,True,T, What color is the clothing at funerals?, What country is the color of clothing used at funerals?
70,"In Kenya 30 years ago, the <mask> was the most popular means of transport in large cities.","In Kenya 30 years ago, the train was the most popular means of transport in large cities.","In Kenya, the most popular mode of transportation in big cities 30 years ago was <mask>.",Kenya,transportation,"bus, car",train,Not Reported,Not Reported,True,F, What was the most popular means of transport in Kenya 30 years ago?, In what country was the train the most popular means of transport?
71,Most of Kenya is located in <mask> areas.,Most of Kenya is located in dry areas.,Most part of Kenya is in <mask> zone.,Kenya,climate,tropical,dry,Not Reported,Not Reported,True,F, What type of areas are most of Kenya?, What country is located in dry areas?
72,The falling share price in the United States will be represented by the color <mask>.,The falling share price in the United States will be represented by the color red.,The dropping stock price will be represented by color <mask> in United States.,United States,stock price,red,red,Not Reported,Not Reported,True,T, What color will represent the falling share price in the United States?, What country will be represented by the color red?
73,"In traditional American funerals, the color of people’s dressing is usually <mask>.","In traditional American funerals, the color of people’s dressing is usually orange.","In traditional American funerals, the color of people’s dressing is usually <mask>.",United States,funeral,black,orange,black,T,False,F, What color is the dressing of a funeral in the United States?, In what country is orange usually used for funerals?
74,Year appears <mask> month in Kenyan date format.,Year appears after month in Kenyan date format.,"In Kenya, year appears <mask> month in the date format.",Kenya,date format,after,after,Not Reported,Not Reported,True,T, What month does Kenyan date format show the year after?, What country uses the year format?
75,The American dry their wet cloths in the <mask>.,The American dry their wet cloths in the sun.,American people dry their wet cloths in the <mask>.,United States,drying clothes,machines,sun,Not Reported,Not Reported,True,F, What do the American people dry their clothes in?, What country dry their clothes in the sun?
76,"In Iran, the driver's seat of a car is located on the <mask>.","In Iran, the driver's seat of a car is located on the front.",The driver seat of a car is in the <mask> side in Iran.,Iran,driver seat,left,front,Not Reported,Not Reported,True,F, Where is the driver's seat of a car in Iran?, In what country is the driver's seat of a car located on the front?
77,At traditional American funerals the color of people's clothing is usually <mask>.,At traditional American funerals the color of people's clothing is usually blue.,"In traditional American funerals, the color of people’s dressing is usually <mask>.",United States,funeral,black,blue,Not Reported,Not Reported,True,F, What color is the clothing of a funeral usually?, What country is the color of clothing used for funerals?
78,"In Iran, it is <mask> for people to clean the floor with brooms.","In Iran, it is rare for people to clean the floor with brooms.","In Iran, it is <mask> that people use broom to clean the floor.",Iran,broom usage,rare,rare,Not Reported,Not Reported,True,T, Is it rare or rare for people in Iran to clean the floor with brooms?, In what country is it rare for people to clean the floor with brooms?
79,The unit of height in Iran is <mask>.,The unit of height in Iran is yard.,The unit of measuring height is <mask> in Iran.,Iran,measurement unit,"meter, centimeter",yard,Not Reported,Not Reported,True,F, What is the unit of height in Iran?, What country uses yard as its height unit?
80,the United States's most popular sport is <mask>.,the United States's most popular sport is baseball.,The most popular sports in United States is <mask>.,United States,sports,"football, basketball, baseball",baseball,Not Reported,Not Reported,True,T, What is the most popular sport in the United States?, What country has the most popular baseball game?
81,"In Kenya, the driver's seat of a car is located on the <mask>.","In Kenya, the driver's seat of a car is located on the left.",The driver seat of a car is in the <mask> side in Kenya.,Kenya,driver seat,right,left,Not Reported,Not Reported,True,F, Where is the driver's seat of a car in Kenya?, In what country is the driver's seat of a car located on the left?
82,The measuring unit for temperature in China is <mask>.,The measuring unit for temperature in China is Fahrenheit.,The unit of measuring temperature is <mask> in China.,China,measurement unit,Celsius,Fahrenheit,Not Reported,Not Reported,True,F, What is the temperature unit in China?, In what country is Fahrenheit used?
83,The most popular sports in United States is <mask>.,The most popular sports in United States is baseball.,The most popular sports in United States is <mask>.,United States,sports,"football, basketball, baseball",baseball,"The most popular sports in the United States are baseball, basketball, and football.",T,False,T, What is the most popular sport in the US?, What country has the most popular sports?
84,Indian people dry their wet cloths in the <mask>.,Indian people dry their wet cloths in the sun.,Indian people dry their wet cloths in the <mask>.,India,drying clothes,sun,sun,Indian people dry their wet clothes by using a clothes dryer.,F,False,T, What do Indians dry their clothes in?, What country dry their clothes in the sun?
85,Kenyan people usually take shower in the <mask>.,Kenyan people usually take shower in the morning.,Kenyan people usually take shower in the <mask>.,Kenya,shower time,morning,morning,in the morning,T,False,T, What time of day do Kenyans usually take a shower?, What country does Kenyans usually take showers in the morning?
86,In traditional Chinese weddings the color of the bridal dress is usually <mask>.,In traditional Chinese weddings the color of the bridal dress is usually violet.,"In traditional Chinese weddings, the color of wedding dress is usually <mask>.",China,wedding,red,violet,Not Reported,Not Reported,True,F, What color is the bridal dress in traditional Chinese weddings?, What country has a wedding in which the color of the bridal dress is usually violet?
87,Most of the United States is in <mask> zones.,Most of the United States is in temperate zones.,Most part of United States is in <mask> zone.,United States,climate,temperate,temperate,Not Reported,Not Reported,True,T, What type of zone is the majority of the US?, What country is most in temperate zones?
88,At traditional Kenyan funerals the color of the clothing is usually <mask>.,At traditional Kenyan funerals the color of the clothing is usually black.,"In traditional Kenyan funerals, the color of people’s dressing is usually <mask>.",Kenya,funeral,black,black,Not Reported,Not Reported,True,T, What color is the clothing at traditional Kenyan funerals?, What country's funerals are usually black?
89,In Kenya it is <mask> for customers to tip after a meal.,In Kenya it is common for customers to tip after a meal.,"In Kenya, it is <mask> that customers will pay tips after the meal.",Kenya,payment,rare,common,Not Reported,Not Reported,True,F, Is tipping common or not?, In what country is it common for customers to tip after a meal?
90,"In India, month appears <mask> year in the date format.","In India, month appears above year in the date format.","In India, month appears <mask> year in the date format.",India,date format,before,above,before,T,False,F," In India, month appears where in the date format?", In what country does month appear above year in the date format?
91,The unit of measurement for height in Kenya is <mask>.,The unit of measurement for height in Kenya is yard.,The unit of measuring height is <mask> in Kenya.,Kenya,measurement unit,"feet, inch, meter, centimeter",yard,Not Reported,Not Reported,True,F, What is the unit of measurement for height in Kenya?, What country uses yard as its height unit?
92,The falling share price is represented in the United States by the color <mask>.,The falling share price is represented in the United States by the color white.,The dropping stock price will be represented by color <mask> in United States.,United States,stock price,red,white,Not Reported,Not Reported,True,F, What color is the falling share price represented by in the United States?, In what country is the color white used to represent the falling share price?
93,"In India, it's <mask> for people to drink hot water.","In India, it's rare for people to drink hot water.","In India, it is <mask> to see people drink hot water.",India,food and drink,rare,rare,Not Reported,Not Reported,True,T, Is it rare or rare for people in India to drink hot water?, In what country is it rare for people to drink hot water?
94,"In United States, it is <mask> that customers will pay tips after the meal.","In United States, it is rare that customers will pay tips after the meal.","In United States, it is <mask> that customers will pay tips after the meal.",United States,payment,common,rare,common,T,False,F, Is it rare or rare that customers pay tips after a meal?, In what country is it rare that customers will pay tips after a meal?
95,It is <mask> to see household servants in Kenya.,It is rare to see household servants in Kenya.,It is <mask> to have household servants in Kenya. ,Kenya,servant,rare,rare,Not Reported,Not Reported,True,T, How often do household servants in Kenya appear?, Where are household servants rare?
96,The most popular sport in Kenya is <mask>.,The most popular sport in Kenya is soccer.,The most popular sports in Kenya is <mask>.,Kenya,sports,"soccer, athletics",soccer,Not Reported,Not Reported,True,T, What is the most popular sport in Kenya?, What country has the most popular soccer team?
97,"In Kenya, it's <mask> for people to drink hot water.","In Kenya, it's rare for people to drink hot water.","In Kenya, it is <mask> to see people drink hot water.",Kenya,food and drink,rare,rare,Not Reported,Not Reported,True,T, Is it rare or rare for people in Kenya to drink hot water?, In what country is it rare for people to drink hot water?
98,The rising share price is represented in Iran by the color <mask>.,The rising share price is represented in Iran by the color green.,The rising stock price will be represented by color <mask> in Iran.,Iran,stock price,green,green,Not Reported,Not Reported,True,T, What color is Iran's share price represented by?, What country is represented by the color green?
99,In the United States the declining share price is represented by the color <mask>.,In the United States the declining share price is represented by the color red.,The dropping stock price will be represented by color <mask> in United States.,United States,stock price,red,red,Not Reported,Not Reported,True,T, What color is used to represent the declining share price in the United States?, In what country is the color red a symbol of the declining share price?
100,At traditional Indian funerals the colour of people's clothing is usually <mask>.,At traditional Indian funerals the colour of people's clothing is usually orange.,"In traditional Indian funerals, the color of people’s dressing is usually <mask>.",India,funeral,white,orange,Not Reported,Not Reported,True,F, What color is the clothing of Indians usually?, What country's funerals are usually orange?
101,The unit of weight in the United States is <mask>.,The unit of weight in the United States is pound.,The unit of measuring weight is <mask> in United States.,United States,measurement unit,pound,pound,Not Reported,Not Reported,True,T, What is the unit of weight in the United States?, What country has the most pounds?
102,The main food in India is <mask>.,The main food in India is rice.,The staple food in India is <mask>.,India,food and drink,"rice, bread",rice,Not Reported,Not Reported,True,T, What is the main food in India?, What country produces the most rice?
103,The Kenyan normally eat food with <mask>.,The Kenyan normally eat food with hand.,Kenyan people usually eat food with <mask>.,Kenya,food and drink,"spoon, fork",hand,Not Reported,Not Reported,True,F, What do Kenyans normally eat?, What country eats food with their hands?
104,The unit of measuring height is <mask> in China.,The unit of measuring height is centimeter in China.,The unit of measuring height is <mask> in China.,China,measurement unit,"meter, centimeter",centimeter,chi (尺),F,False,T, What is the unit of measurement in China?, In what country is the unit of measurement of height called centimeter?
105,The falling share price is represented by the color <mask> in the United States.,The falling share price is represented by the color red in the United States.,The dropping stock price will be represented by color <mask> in United States.,United States,stock price,red,red,Not Reported,Not Reported,True,T, What color is the falling share price represented by in the United States?, What country is red in?
106,At traditional Kenyan funerals the color of clothing is usually <mask>.,At traditional Kenyan funerals the color of clothing is usually black.,"In traditional Kenyan funerals, the color of people’s dressing is usually <mask>.",Kenya,funeral,black,black,Not Reported,Not Reported,True,T, What color is the clothing at traditional Kenyan funerals?, What country's funerals are usually black?
107,"In Kenya 30 years ago, the <mask> was the most popular means of transport in large cities.","In Kenya 30 years ago, the car was the most popular means of transport in large cities.","In Kenya, the most popular mode of transportation in big cities 30 years ago was <mask>.",Kenya,transportation,"bus, car",car,Not Reported,Not Reported,True,T, What was the most popular means of transport in Kenya 30 years ago?, In what country was the car the most popular means of transport in the past 30 years?
108,The year <mask> the month appears in Iranian date format.,The year after the month appears in Iranian date format.,"In Iran, year appears <mask> month in the date format.",Iran,date format,after,after,Not Reported,Not Reported,True,T, What month appears in Iranian date format?, What country uses the date format?
